Frame         Time          Elec          VdW           Total         
0             0             -671.234      -88.006       -759.24       
1             1             -443.461      -83.1238      -526.585      
2             2             -662.998      -90.6997      -753.697      
3             3             -640.669      -72.1313      -712.801      
4             4             -705.533      -86.3901      -791.923      
5             5             -688.722      -73.4155      -762.138      
6             6             -777.055      -82.8091      -859.864      
7             7             -626.394      -69.5612      -695.956      
8             8             -633.632      -80.9363      -714.568      
9             9             -701.408      -74.4708      -775.878      
10            10            -491.904      -71.6671      -563.571      
11            11            -477.536      -63.5338      -541.069      
12            12            -462.871      -74.5261      -537.397      
13            13            -553.867      -69.9942      -623.862      
14            14            -691.869      -73.6303      -765.499      
15            15            -473.374      -77.496       -550.87       
16            16            -549.319      -76.3086      -625.628      
17            17            -526.045      -73.3181      -599.363      
18            18            -708.222      -82.8075      -791.03       
19            19            -451.956      -79.2535      -531.209      
20            20            -645.175      -72.3393      -717.514      
21            21            -854.733      -75.3057      -930.039      
22            22            -625.954      -75.8856      -701.84       
23            23            -644.69       -68.7784      -713.469      
24            24            -399.954      -80.5237      -480.478      
25            25            -540.375      -69.5014      -609.877      
26            26            -562.997      -86.8817      -649.879      
27            27            -709.264      -80.2068      -789.47       
28            28            -559.97       -68.9314      -628.901      
29            29            -471.863      -80.7193      -552.582      
30            30            -538.405      -83.2663      -621.672      
31            31            -454.073      -84.2106      -538.284      
32            32            -506.271      -73.3807      -579.652      
33            33            -651.867      -76.7243      -728.591      
34            34            -444.028      -71.6039      -515.632      
35            35            -643.504      -71.7356      -715.24       
36            36            -452.185      -58.8897      -511.074      
37            37            -803.292      -79.4009      -882.693      
38            38            -547.159      -80.1374      -627.296      
39            39            -686.687      -76.3141      -763.002      
40            40            -685.462      -80.9963      -766.458      
41            41            -716.73       -78.9066      -795.636      
42            42            -625.174      -84.0965      -709.271      
43            43            -935.395      -77.0216      -1012.42      
44            44            -792.063      -87.2275      -879.29       
45            45            -798.902      -78.014       -876.916      
46            46            -646.143      -89.5146      -735.658      
47            47            -705.042      -88.3497      -793.391      
48            48            -467.468      -82.2519      -549.72       
49            49            -616.045      -89.9929      -706.038      
50            50            -476.805      -80.3075      -557.113      
51            51            -532.625      -86.6771      -619.302      
52            52            -573.356      -90.0773      -663.433      
53            53            -509.735      -84.0372      -593.773      
54            54            -669.731      -85.7976      -755.528      
55            55            -798.611      -80.4526      -879.064      
56            56            -652.057      -94.6543      -746.711      
57            57            -839.811      -71.9512      -911.762      
58            58            -852.723      -75.1329      -927.856      
59            59            -492.884      -82.7571      -575.641      
60            60            -938.636      -83.5675      -1022.2       
61            61            -830.04       -80.6284      -910.669      
62            62            -807.238      -74.4038      -881.641      
63            63            -588.549      -83.0965      -671.645      
64            64            -754.76       -77.6171      -832.377      
65            65            -679.669      -83.2222      -762.892      
66            66            -566.997      -88.0374      -655.035      
67            67            -695.635      -91.1578      -786.792      
68            68            -713.149      -71.8754      -785.024      
69            69            -576.109      -84.6821      -660.791      
70            70            -765.497      -79.7496      -845.246      
71            71            -606.199      -83.3341      -689.533      
72            72            -485.028      -72.8872      -557.915      
73            73            -502.765      -85.5034      -588.268      
74            74            -698.152      -81.6588      -779.811      
75            75            -529.175      -79.6895      -608.865      
76            76            -510.795      -77.697       -588.492      
77            77            -735.214      -83.822       -819.036      
78            78            -528.99       -75.4965      -604.486      
79            79            -736.194      -74.777       -810.971      
80            80            -633.485      -84.3503      -717.835      
81            81            -503.806      -77.2556      -581.062      
82            82            -762.401      -70.6164      -833.017      
83            83            -671.116      -77.8417      -748.958      
84            84            -543.195      -80.8968      -624.092      
85            85            -560.503      -80.438       -640.941      
86            86            -468.425      -83.7088      -552.134      
87            87            -614.752      -80.8515      -695.604      
88            88            -637.882      -87.7436      -725.626      
89            89            -582.696      -81.13        -663.826      
90            90            -369.856      -81.198       -451.054      
91            91            -508.065      -80.3213      -588.387      
92            92            -587.601      -75.8954      -663.497      
93            93            -630.068      -72.6674      -702.735      
94            94            -406.845      -73.7408      -480.586      
95            95            -662.189      -80.0107      -742.2        
96            96            -390.45       -81.5957      -472.045      
97            97            -360.969      -80.882       -441.851      
98            98            -374.297      -79.0029      -453.3        
99            99            -726.819      -70.4974      -797.317      
100           100           -596.024      -82.1092      -678.133      
101           101           -492.816      -69.1794      -561.995      
102           102           -603.102      -72.2659      -675.368      
103           103           -662.075      -73.7783      -735.853      
104           104           -461.258      -70.4998      -531.757      
105           105           -410.02       -61.4807      -471.501      
106           106           -516.636      -73.7106      -590.346      
107           107           -710.889      -68.1894      -779.079      
108           108           -530.34       -67.5366      -597.877      
109           109           -604.337      -78.5953      -682.933      
110           110           -631.113      -81.4679      -712.581      
111           111           -483.373      -71.7814      -555.155      
112           112           -681.326      -80.6826      -762.008      
113           113           -403.105      -76.5769      -479.682      
114           114           -579.604      -66.4626      -646.067      
115           115           -701.885      -76.4327      -778.317      
116           116           -456.989      -72.0693      -529.058      
117           117           -284.675      -75.2184      -359.893      
118           118           -419.34       -65.6911      -485.031      
119           119           -464.207      -80.2049      -544.412      
120           120           -413.695      -76.5037      -490.198      
121           121           -334.324      -77.3619      -411.686      
122           122           -658.963      -73.7344      -732.698      
123           123           -642.485      -79.6981      -722.183      
124           124           -917.117      -64.2017      -981.319      
125           125           -803.126      -52.8717      -855.997      
126           126           -860.022      -45.8809      -905.903      
127           127           -633.487      -48.7839      -682.271      
128           128           -703.218      -70.2992      -773.518      
129           129           -909.087      -61.688       -970.775      
130           130           -1103.22      -58.8475      -1162.07      
131           131           -958.418      -65.7729      -1024.19      
132           132           -1108.4       -54.5605      -1162.96      
133           133           -831.07       -63.1445      -894.214      
134           134           -772.092      -65.405       -837.497      
135           135           -957.358      -50.7327      -1008.09      
136           136           -966.633      -67.2277      -1033.86      
137           137           -896.368      -70.2995      -966.668      
138           138           -811.28       -64.1847      -875.465      
139           139           -797.884      -61.1552      -859.039      
140           140           -970.968      -71.838       -1042.81      
141           141           -878.034      -61.3956      -939.43       
142           142           -580.78       -68.6175      -649.397      
143           143           -978.972      -73.9778      -1052.95      
144           144           -825.321      -60.3864      -885.707      
145           145           -705.493      -79.1019      -784.595      
146           146           -890.708      -61.6861      -952.394      
147           147           -745.529      -69.6919      -815.221      
148           148           -912.855      -60.3487      -973.204      
149           149           -935.275      -57.139       -992.414      
150           150           -1271.66      -78.2859      -1349.95      
151           151           -858.869      -65.0905      -923.96       
152           152           -971.35       -64.4893      -1035.84      
153           153           -754.623      -82.1895      -836.813      
154           154           -996.448      -75.7642      -1072.21      
155           155           -1101.89      -76.7323      -1178.62      
156           156           -1199.75      -65.8522      -1265.6       
157           157           -966.561      -60.2695      -1026.83      
158           158           -1028.67      -77.8903      -1106.56      
159           159           -878.286      -72.5969      -950.883      
160           160           -712.738      -77.2514      -789.989      
161           161           -509.98       -78.8986      -588.879      
162           162           -596.311      -73.331       -669.642      
163           163           -779.803      -68.1472      -847.95       
164           164           -694.29       -75.858       -770.148      
165           165           -850.195      -73.6036      -923.799      
166           166           -714.322      -72.4428      -786.765      
167           167           -863.912      -77.5026      -941.414      
168           168           -1049.07      -69.9651      -1119.04      
169           169           -844.072      -67.7432      -911.815      
170           170           -735.995      -84.5619      -820.557      
171           171           -854.762      -71.9283      -926.691      
172           172           -797.816      -74.9578      -872.774      
173           173           -721.432      -78.5782      -800.01       
174           174           -736.963      -76.6164      -813.579      
175           175           -868.492      -79.3273      -947.819      
176           176           -853.022      -83.8461      -936.868      
177           177           -956.597      -83.5048      -1040.1       
178           178           -791.728      -72.4401      -864.168      
179           179           -871.344      -78.8749      -950.219      
180           180           -817.372      -81.0647      -898.437      
181           181           -633.897      -78.6515      -712.549      
182           182           -596.167      -85.9907      -682.158      
183           183           -802.178      -74.2158      -876.394      
184           184           -692.413      -78.6603      -771.073      
185           185           -751.676      -65.2392      -816.915      
186           186           -854.006      -75.4494      -929.455      
187           187           -924.174      -71.7886      -995.963      
188           188           -829.968      -77.6252      -907.593      
189           189           -913.087      -90.2233      -1003.31      
190           190           -1275.96      -77.4528      -1353.41      
191           191           -797.728      -71.516       -869.244      
192           192           -1287.61      -85.7623      -1373.37      
193           193           -796.605      -65.0387      -861.644      
194           194           -913.775      -68.7593      -982.534      
195           195           -752.538      -65.6901      -818.228      
196           196           -1029.68      -80.7433      -1110.42      
197           197           -1205.75      -60.4445      -1266.2       
198           198           -1227.98      -61.0882      -1289.06      
199           199           -1141.19      -69.9758      -1211.16      
200           200           -920.543      -58.9807      -979.524      
201           201           -1069.44      -74.4782      -1143.92      
