Frame         Time          Elec          VdW           Total         
0             0             -519.124      -82.4314      -601.555      
1             1             -654.182      -88.8833      -743.065      
2             2             -631.977      -75.4325      -707.41       
3             3             -550.713      -81.655       -632.368      
4             4             -563.6        -83.4195      -647.02       
5             5             -475.213      -76.173       -551.386      
6             6             -497.687      -76.5581      -574.245      
7             7             -622.966      -69.3672      -692.334      
8             8             -426.056      -77.3143      -503.37       
9             9             -560.448      -69.5173      -629.965      
10            10            -567.994      -67.6348      -635.628      
11            11            -486.679      -63.7268      -550.406      
12            12            -531.193      -64.3749      -595.567      
13            13            -560.548      -57.9326      -618.481      
14            14            -577.076      -52.5452      -629.621      
15            15            -587.24       -66.404       -653.644      
16            16            -510.156      -65.9129      -576.069      
17            17            -430.28       -70.1628      -500.443      
18            18            -566.221      -58.0748      -624.296      
19            19            -555.641      -61.9306      -617.572      
20            20            -524.971      -62.1888      -587.159      
21            21            -487.201      -71.6249      -558.826      
22            22            -570.936      -56.3384      -627.274      
23            23            -582.682      -63.8416      -646.524      
24            24            -580.857      -66.7824      -647.639      
25            25            -630.926      -65.5655      -696.492      
26            26            -639.217      -63.9006      -703.117      
27            27            -599.115      -60.4915      -659.606      
28            28            -655.132      -66.9117      -722.044      
29            29            -614.739      -55.5745      -670.314      
30            30            -520.736      -81.2557      -601.992      
31            31            -593.359      -72.8895      -666.248      
32            32            -531.235      -61.8404      -593.076      
33            33            -581.434      -69.816       -651.25       
34            34            -542.376      -64.661       -607.037      
35            35            -484.179      -75.0568      -559.236      
36            36            -541.294      -62.7917      -604.086      
37            37            -497.605      -67.7716      -565.377      
38            38            -493.576      -72.8926      -566.468      
39            39            -631.338      -83.2077      -714.546      
40            40            -514.132      -75.9401      -590.072      
41            41            -711.611      -67.1547      -778.766      
42            42            -571.54       -59.7464      -631.286      
43            43            -558.233      -57.3284      -615.562      
44            44            -544.005      -58.4796      -602.485      
45            45            -522.683      -61.6339      -584.316      
46            46            -533.808      -63.9184      -597.726      
47            47            -496.232      -60.5324      -556.764      
48            48            -465.013      -58.8258      -523.839      
49            49            -564.867      -64.7217      -629.589      
50            50            -497.464      -70.1556      -567.62       
51            51            -483.814      -56.1459      -539.96       
