Frame         Time          Elec          VdW           Total         
0             0             -382.456      -87.4706      -469.926      
1             1             -466.331      -67.2504      -533.581      
2             2             -577.282      -76.5174      -653.799      
3             3             -488.402      -75.8617      -564.264      
4             4             -575.235      -78.074       -653.309      
5             5             -534.936      -88.6297      -623.566      
6             6             -739.687      -83.3013      -822.988      
7             7             -688.624      -79.9583      -768.582      
8             8             -520.371      -75.2521      -595.623      
9             9             -505.635      -73.3748      -579.01       
10            10            -676.443      -65.5309      -741.974      
11            11            -686.626      -62.4949      -749.121      
12            12            -761.949      -76.2098      -838.159      
13            13            -647.221      -67.6597      -714.88       
14            14            -878.687      -69.2768      -947.964      
15            15            -907.35       -68.5577      -975.907      
16            16            -790.64       -68.6741      -859.314      
17            17            -886.186      -72.1313      -958.317      
18            18            -875.914      -57.4034      -933.317      
19            19            -805.464      -59.1864      -864.65       
20            20            -811.603      -55.1334      -866.737      
21            21            -613.085      -51.9242      -665.009      
22            22            -660.655      -45.4177      -706.072      
23            23            -670.163      -57.3768      -727.54       
24            24            -845.789      -46.7778      -892.567      
25            25            -922.144      -45.9598      -968.104      
26            26            -790.751      -52.3458      -843.097      
27            27            -777.733      -48.8374      -826.571      
28            28            -769.25       -58.854       -828.105      
29            29            -825.81       -45.8019      -871.612      
30            30            -828.396      -45.5977      -873.993      
31            31            -736.666      -45.1077      -781.774      
32            32            -636.843      -57.3045      -694.148      
33            33            -715.663      -43.8141      -759.477      
34            34            -781.391      -60.0633      -841.455      
35            35            -746.238      -50.6588      -796.897      
36            36            -567.196      -51.3772      -618.573      
37            37            -911.523      -48.7862      -960.309      
38            38            -717.75       -57.7698      -775.52       
39            39            -552.064      -55.7996      -607.863      
40            40            -551.178      -52.052       -603.23       
41            41            -682.264      -66.8251      -749.089      
42            42            -629.495      -53.2634      -682.759      
43            43            -575.123      -61.343       -636.466      
44            44            -618.135      -59.8442      -677.979      
45            45            -613.396      -55.7975      -669.193      
46            46            -610.346      -60.2207      -670.566      
47            47            -740.202      -49.3252      -789.527      
48            48            -465.304      -59.5375      -524.842      
49            49            -554.455      -70.8147      -625.269      
