Frame         Time          Elec          VdW           Total         
0             0             -448.633      -10.3033      -458.936      
1             1             -387.58       -4.6839       -392.264      
2             2             -366.868      -5.5308       -372.399      
3             3             -437.733      -5.0449       -442.778      
4             4             -419.221      -3.9683       -423.189      
5             5             -409.163      -4.4121       -413.575      
6             6             -427.92       -3.5832       -431.503      
7             7             -428.986      -3.6648       -432.651      
8             8             -320.308      -3.6207       -323.929      
9             9             -289.817      -4.1763       -293.993      
10            10            -342.175      -3.9835       -346.158      
11            11            -426.746      -2.2233       -428.97       
12            12            -345.246      -2.2314       -347.478      
13            13            -283.836      -5.9082       -289.744      
14            14            -346.45       -1.5637       -348.013      
15            15            -280.947      -3.1875       -284.135      
16            16            -309.686      -8.0165       -317.702      
17            17            -251.434      -3.7258       -255.16       
18            18            -231.113      -9.8487       -240.961      
19            19            -261.349      -1.2039       -262.553      
20            20            -273.834      -2.8107       -276.645      
21            21            -326.865      -4.4903       -331.356      
22            22            -478.018      -6.388        -484.406      
23            23            -393.92       -4.2318       -398.152      
24            24            -354.311      -3.2182       -357.53       
25            25            -390.577      -0.7363       -391.313      
26            26            -415.47       -1.3611       -416.831      
27            27            -355.543      -3.4316       -358.975      
28            28            -348.348      -0.3024       -348.651      
29            29            -349.851      -0.437        -350.288      
30            30            -328.712      +0.4937       -328.218      
31            31            -379.82       -3.0121       -382.832      
32            32            -347.389      -3.0589       -350.448      
33            33            -391.716      -4.433        -396.149      
34            34            -377.216      -2.679        -379.895      
35            35            -383.408      -4.3914       -387.799      
36            36            -355.731      -4.0997       -359.831      
37            37            -418.564      -4.7125       -423.276      
38            38            -399.959      -3.8227       -403.782      
39            39            -433.608      -5.1315       -438.74       
40            40            -487.156      -0.3585       -487.514      
41            41            -447.445      -5.2876       -452.732      
42            42            -451.883      -3.7495       -455.633      
43            43            -480.001      -5.2664       -485.267      
44            44            -457.977      -3.2219       -461.199      
45            45            -477.546      -7.0051       -484.551      
46            46            -529.715      -4.2414       -533.956      
47            47            -517.843      +0.495        -517.348      
48            48            -495.953      -5.0525       -501.005      
49            49            -551.834      -5.0365       -556.87       
50            50            -546.708      -5.2672       -551.975      
51            51            -592.66       -5.084        -597.744      
52            52            -501.953      -9.3029       -511.256      
53            53            -537.867      -1.9083       -539.775      
54            54            -493.445      -0.9509       -494.396      
55            55            -523.796      -3.7052       -527.501      
56            56            -507.509      -4.2253       -511.735      
57            57            -494.9        -9.4171       -504.317      
58            58            -585.419      -5.5204       -590.939      
59            59            -570.707      -11.3941      -582.101      
60            60            -592.838      -4.5508       -597.389      
61            61            -646.001      -11.1075      -657.109      
62            62            -596.082      -3.7141       -599.796      
63            63            -566.784      -5.8151       -572.599      
64            64            -597.151      -5.6299       -602.781      
65            65            -644.225      -2.5356       -646.761      
66            66            -560.408      -5.9309       -566.339      
67            67            -571.586      +1.327        -570.259      
68            68            -476.377      -7.2827       -483.66       
69            69            -421.499      -0.8455       -422.344      
70            70            -505.308      -5.9124       -511.22       
71            71            -533.835      -7.6744       -541.51       
72            72            -559.647      -9.6789       -569.326      
73            73            -547.545      -6.0041       -553.549      
74            74            -527.713      -12.2436      -539.957      
75            75            -535.26       -14.3845      -549.644      
76            76            -631.613      -6.2662       -637.88       
77            77            -641.5        -5.4494       -646.95       
78            78            -522.882      -5.0022       -527.884      
79            79            -542.005      -6.3338       -548.339      
80            80            -531.811      -12.1742      -543.985      
81            81            -569.578      -8.8653       -578.443      
82            82            -587.146      -6.4824       -593.628      
83            83            -514.299      -6.955        -521.254      
84            84            -525.44       -14.2468      -539.687      
85            85            -494.972      -16.8852      -511.858      
86            86            -462.038      -17.2258      -479.264      
87            87            -484.478      -9.8955       -494.373      
88            88            -549.606      -11.2376      -560.844      
89            89            -509.11       -11.0709      -520.181      
90            90            -574.885      -13.9023      -588.787      
91            91            -521.743      -16.8135      -538.557      
92            92            -497.924      -20.3421      -518.266      
93            93            -489.136      -23.5082      -512.644      
94            94            -457.154      -24.514       -481.668      
95            95            -420.621      -19.0866      -439.707      
96            96            -535.553      -13.226       -548.779      
97            97            -528.569      -8.6305       -537.199      
98            98            -503.553      -6.5563       -510.11       
99            99            -440.601      -9.5443       -450.146      
100           100           -431.944      -16.6038      -448.548      
101           101           -499.118      -12.9555      -512.074      
102           102           -480.671      -16.6588      -497.33       
103           103           -488.798      -13.6845      -502.483      
104           104           -473.967      -16.8117      -490.779      
105           105           -436.817      -19.2299      -456.047      
106           106           -451.32       -16.8294      -468.149      
107           107           -491.852      -13.3857      -505.238      
108           108           -506.387      -15.6696      -522.056      
109           109           -484.658      -16.2516      -500.91       
110           110           -521.053      -9.9785       -531.032      
111           111           -495.394      -7.0187       -502.413      
112           112           -407.594      -12.0507      -419.645      
113           113           -411.999      -14.154       -426.153      
114           114           -484.265      -13.7365      -498.002      
115           115           -449.008      -12.5567      -461.565      
116           116           -425.219      -17.5483      -442.767      
117           117           -437.826      -16.4788      -454.305      
118           118           -499.652      -16.3633      -516.015      
119           119           -455.504      -12           -467.504      
120           120           -491.677      -9.0703       -500.748      
121           121           -489.269      -17.7749      -507.044      
122           122           -582.816      -10.4913      -593.308      
123           123           -567.728      -10.0226      -577.751      
124           124           -541.077      -11.2712      -552.349      
125           125           -587.472      -6.9234       -594.395      
126           126           -581.551      -15.6816      -597.232      
127           127           -617.102      -11.869       -628.971      
128           128           -599.019      -13.4676      -612.487      
129           129           -585.583      -15.1864      -600.77       
130           130           -631.806      -14.2427      -646.049      
131           131           -649.723      -17.9905      -667.713      
132           132           -627.862      -13.4116      -641.274      
133           133           -613.195      -13.6955      -626.891      
134           134           -677.927      -15.2755      -693.202      
135           135           -670.426      -16.7423      -687.169      
136           136           -665.381      -7.0204       -672.401      
137           137           -649.043      -10.5771      -659.62       
138           138           -610.064      -17.2198      -627.284      
139           139           -617.319      -12.2889      -629.608      
140           140           -633.115      -15.6846      -648.799      
141           141           -709.596      -14.0158      -723.612      
142           142           -635.669      -20.3007      -655.969      
143           143           -652.852      -14.1611      -667.013      
144           144           -593.992      -21.8393      -615.831      
145           145           -622.389      -22.2005      -644.59       
146           146           -656.459      -18.7927      -675.251      
147           147           -672.493      -9.7446       -682.238      
148           148           -714.159      -17.6816      -731.841      
149           149           -716.734      -12.1124      -728.846      
150           150           -697.68       -17.7231      -715.403      
151           151           -707.013      -6.2544       -713.267      
152           152           -665.943      -14.6803      -680.624      
153           153           -680.813      -15.562       -696.375      
154           154           -675.537      -13.4038      -688.941      
155           155           -706.987      -7.3373       -714.324      
156           156           -635.453      -10.7508      -646.204      
157           157           -588.155      -17.4802      -605.635      
158           158           -613.565      -13.0211      -626.586      
159           159           -638.152      -12.6621      -650.814      
160           160           -641.559      -12.1321      -653.692      
161           161           -657.408      -13.7975      -671.206      
162           162           -707.802      -8.3862       -716.188      
163           163           -653.128      -6.3492       -659.477      
164           164           -571.755      -7.1783       -578.933      
165           165           -586.949      -5.6217       -592.571      
166           166           -648.59       -1.6793       -650.269      
167           167           -660.093      -11.6584      -671.751      
168           168           -688.316      -5.826        -694.142      
169           169           -651.395      -9.8304       -661.226      
170           170           -586.639      -4.1974       -590.837      
171           171           -568.371      -6.1786       -574.549      
172           172           -499.024      -11.1907      -510.215      
173           173           -529.608      -6.7048       -536.313      
174           174           -569.631      -9.4536       -579.085      
175           175           -604.161      -1.547        -605.708      
176           176           -681.319      -1.4529       -682.772      
177           177           -631.022      -7.197        -638.219      
178           178           -625.501      -5.1454       -630.646      
179           179           -559.337      -1.2032       -560.541      
180           180           -517.736      -2.2812       -520.017      
181           181           -565.851      -4.3937       -570.245      
182           182           -528.863      -0.5801       -529.443      
183           183           -490.016      -2.529        -492.545      
184           184           -503.411      -5.298        -508.709      
185           185           -661.123      +0.9292       -660.193      
186           186           -691.646      -0.5286       -692.174      
187           187           -736.364      -1.9686       -738.332      
188           188           -681.455      +1.4445       -680.01       
189           189           -604.029      -6.6829       -610.712      
190           190           -690.324      -3.2323       -693.557      
191           191           -705.383      -3.1099       -708.492      
192           192           -723.97       +2.8529       -721.117      
193           193           -688.053      -5.3934       -693.446      
194           194           -676.878      -0.5397       -677.417      
195           195           -733.841      +5.6761       -728.164      
196           196           -629.78       -2.7842       -632.564      
197           197           -711.547      +0.6882       -710.859      
198           198           -560.718      -1.4626       -562.181      
199           199           -648.548      -0.7601       -649.308      
200           200           -575.52       -3.0496       -578.57       
201           201           -643.304      -0.0666       -643.37       
202           202           -580.276      -2.6474       -582.924      
203           203           -600.457      +1.3374       -599.119      
204           204           -573.486      +0.7122       -572.774      
205           205           -500.056      -1.5711       -501.627      
206           206           -496.162      +1.2821       -494.88       
207           207           -641.914      +3.7479       -638.167      
208           208           -695.402      +6.4381       -688.964      
209           209           -676.193      +2.6713       -673.522      
210           210           -537.409      +1.2715       -536.137      
211           211           -516.069      +0.021        -516.048      
212           212           -494.974      +2.9088       -492.065      
213           213           -522.794      -0.486        -523.28       
214           214           -458.852      +5.772        -453.08       
215           215           -504.884      -0.7566       -505.641      
216           216           -508.404      +2.6061       -505.798      
217           217           -442.64       +0.2061       -442.434      
