Frame         Time          Elec          VdW           Total         
0             0             -236.97       -4.0188       -240.989      
1             1             -289.182      -2.5125       -291.695      
2             2             -307.175      -1.3246       -308.5        
3             3             -243.493      -7.6753       -251.168      
4             4             -340.856      -5.8022       -346.659      
5             5             -332.658      -6.5827       -339.24       
6             6             -234.457      -8.5582       -243.015      
7             7             -368.71       -2.2808       -370.991      
8             8             -268.876      -4.1487       -273.025      
9             9             -273.306      -3.9487       -277.255      
10            10            -344.916      -3.7074       -348.623      
11            11            -296.737      -3.8146       -300.552      
12            12            -306.015      -3.2875       -309.303      
13            13            -405.765      +0.1742       -405.591      
14            14            -482.307      +3.9961       -478.311      
15            15            -467.99       +4.9865       -463.003      
16            16            -429.628      +1.2058       -428.422      
17            17            -409.928      +0.0142       -409.914      
18            18            -423.586      +2.2598       -421.327      
19            19            -564.599      +1.7711       -562.828      
20            20            -516.01       -1.503        -517.513      
21            21            -472.872      -4.8155       -477.688      
22            22            -498.175      -0.1469       -498.322      
23            23            -468.548      -2.3675       -470.916      
24            24            -478.491      -5.5883       -484.079      
25            25            -418.902      -4.8164       -423.719      
26            26            -416.456      -4.2196       -420.676      
27            27            -407.676      -7.2218       -414.898      
28            28            -423.596      -8.3998       -431.996      
29            29            -436.529      -6.3944       -442.923      
30            30            -309.362      -8.6593       -318.021      
31            31            -265.684      -7.9026       -273.587      
32            32            -308.81       -7.9183       -316.729      
33            33            -413.271      -4.0917       -417.363      
34            34            -430.649      -6.7218       -437.371      
35            35            -332.389      -6.7346       -339.123      
36            36            -346.849      -4.9007       -351.75       
37            37            -328.04       -5.6654       -333.705      
38            38            -328.252      -7.4297       -335.681      
39            39            -331.695      -9.4735       -341.169      
40            40            -344.125      -6.4533       -350.578      
41            41            -411.182      -6.3003       -417.482      
42            42            -425.523      -4.242        -429.765      
43            43            -339.942      -7.1917       -347.134      
44            44            -404.033      -4.8613       -408.894      
45            45            -286.149      -1.6152       -287.764      
46            46            -314.98       -7.2477       -322.227      
47            47            -355.172      -2.9522       -358.124      
48            48            -251.365      -6.8595       -258.225      
49            49            -401.144      -7.704        -408.848      
50            50            -387.923      -2.8183       -390.741      
51            51            -352.057      -3.9239       -355.98       
52            52            -325.851      -5.5907       -331.442      
53            53            -464.007      +1.8638       -462.143      
54            54            -483.05       -1.0616       -484.112      
55            55            -470.663      -2.6561       -473.319      
56            56            -435.048      +0.8257       -434.222      
57            57            -496.456      +1.0294       -495.427      
58            58            -508.667      +0.7923       -507.875      
59            59            -402.566      -3.0493       -405.615      
60            60            -347.528      -1.6071       -349.135      
61            61            -261.399      -0.9194       -262.318      
62            62            -278.045      -0.8215       -278.866      
63            63            -244.905      -0.8424       -245.748      
64            64            -272.511      -0.4606       -272.972      
65            65            -245.406      -0.256        -245.662      
66            66            -264.898      -0.6253       -265.524      
67            67            -243.516      -0.4623       -243.979      
68            68            -257.094      -0.4892       -257.583      
69            69            -303.536      -1.1293       -304.665      
70            70            -289.843      -1.6258       -291.469      
71            71            -268.407      -0.8945       -269.301      
72            72            -279.038      -1.4694       -280.508      
73            73            -341.304      -1.2188       -342.523      
74            74            -351.331      -1.1126       -352.444      
75            75            -349.305      -1.2686       -350.574      
76            76            -442.741      -1.9061       -444.647      
77            77            -461.187      -1.9011       -463.088      
78            78            -530.089      -3.8394       -533.928      
79            79            -426.579      -5.2433       -431.822      
80            80            -349.729      -3.6301       -353.359      
81            81            -414.864      -4.2063       -419.07       
82            82            -345.778      -1.949        -347.727      
83            83            -348.29       -1.3133       -349.603      
84            84            -312.312      -2.0659       -314.378      
85            85            -391.065      -3.0637       -394.129      
86            86            -334.361      -2.705        -337.065      
87            87            -324.988      -3.2395       -328.228      
88            88            -267.936      -2.015        -269.951      
89            89            -201.349      -4.0503       -205.399      
90            90            -257.08       -2.5623       -259.642      
91            91            -247.569      -2.2276       -249.797      
92            92            -207.904      -2.0118       -209.916      
93            93            -199.333      -1.3827       -200.715      
94            94            -208.319      -0.5676       -208.887      
95            95            -270.074      -0.8575       -270.931      
96            96            -259.628      -2.4312       -262.059      
97            97            -313.065      -2.897        -315.962      
98            98            -234.443      -4.0062       -238.449      
99            99            -212.889      -4.4474       -217.336      
100           100           -285.45       -5.8523       -291.302      
101           101           -346.73       -5.7963       -352.526      
102           102           -306.436      -6.1764       -312.612      
103           103           -411.483      -3.8033       -415.286      
104           104           -348.855      -3.4632       -352.318      
105           105           -282.821      -5.3563       -288.177      
106           106           -261.074      -4.1543       -265.228      
107           107           -343.791      -3.4714       -347.262      
108           108           -318.893      -5.012        -323.905      
