Frame         Time          Elec          VdW           Total         
0             0             -206.625      -8.7974       -215.422      
1             1             -273.472      -10.3527      -283.824      
2             2             -489.672      +1.3355       -488.336      
3             3             -513.776      -4.3166       -518.093      
4             4             -473.731      -5.3126       -479.043      
5             5             -487.976      +0.8583       -487.118      
6             6             -503.676      -3.303        -506.979      
7             7             -465.913      -2.7011       -468.614      
8             8             -565.127      -0.8591       -565.986      
9             9             -538.48       -4.7487       -543.229      
10            10            -583.303      -1.9706       -585.274      
11            11            -525.205      -4.7304       -529.936      
12            12            -651.198      -3.7373       -654.936      
13            13            -607.662      -4.6693       -612.331      
14            14            -536.463      -6.046        -542.509      
15            15            -542.462      -3.3107       -545.773      
16            16            -547.251      -3.8137       -551.065      
17            17            -512.723      -6.4054       -519.129      
18            18            -542.197      -6.5986       -548.796      
19            19            -557.498      -4.5762       -562.075      
20            20            -509.072      -4.222        -513.294      
21            21            -504.841      -7.3456       -512.187      
22            22            -565.603      -7.0793       -572.683      
23            23            -561.8        -3.4377       -565.237      
24            24            -552.473      -4.9666       -557.44       
25            25            -538.114      -4.0685       -542.182      
26            26            -553.847      -0.8528       -554.7        
27            27            -564.865      -5.6701       -570.535      
28            28            -507.168      -10.3626      -517.531      
29            29            -543.454      -4.0971       -547.551      
30            30            -545.105      +4.3641       -540.741      
31            31            -540.406      -8.1485       -548.554      
32            32            -506.481      -3.6067       -510.088      
33            33            -537.356      -6.1393       -543.496      
34            34            -508.65       -8.3798       -517.03       
35            35            -554.28       -2.5025       -556.782      
36            36            -562.708      -6.3001       -569.008      
37            37            -544.12       -7.4532       -551.574      
38            38            -551.35       -4.4322       -555.782      
39            39            -601.941      -8.1379       -610.079      
40            40            -572.215      -0.6533       -572.868      
41            41            -523.752      -4.1696       -527.921      
42            42            -528.566      -7.8427       -536.409      
43            43            -512.369      -11.0582      -523.427      
44            44            -546.909      -9.2412       -556.15       
45            45            -536.48       -0.5489       -537.029      
46            46            -555.652      -13.2544      -568.906      
47            47            -545.986      -9.8903       -555.877      
48            48            -590.01       -8.9256       -598.936      
49            49            -603.054      +2.135        -600.919      
50            50            -544.574      -6.2007       -550.775      
51            51            -616.933      +5.5603       -611.372      
52            52            -720.406      -5.505        -725.911      
53            53            -760.651      +1.2625       -759.389      
54            54            -724.399      +3.737        -720.662      
55            55            -644.216      -9.8187       -654.034      
56            56            -653.337      -3.792        -657.129      
57            57            -644.509      -1.4997       -646.008      
58            58            -656.673      -11.3832      -668.057      
