Frame,RMSD of the whole system (alignment on cores),RMSD of tubulin core A (alignement on tubulin core A),RMSD of tubulin core B (alignement on tubulin core B),RMSD of tubulin core C (alignement on tubulin core C),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on core A)","RMSD of CTT B (beta chain, alignment on core B)","RMSD of CTT C (beta chain, alignment on core C)",RMSD of R2 (alignment on R2)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.194913316860029,0.9072312036811788,0.8310421569327175,1.152082565410154,1.3331305048210076,3.264896336452512,4.354720381763225,2.570237054788798,1.8915344529969422
2.0,1.4776338563121725,1.0919238979067825,0.9912346320293269,1.1425794841015908,1.4666094499262485,4.79673894151193,6.719290446818069,3.2887408128875455,2.2310638432288163
3.0,1.6142235541571381,1.1128069542231875,1.0310756245568877,1.2373855294269511,1.5303842543150392,6.339283855942898,6.960362029135599,3.2089564486913806,2.169881493148721
4.0,1.5725262049269715,1.415370096451494,1.0721548232959408,1.3092714382765598,1.615094422459627,5.505974389671444,5.075270558596252,2.201460084756739,2.402880485897604
5.0,1.852927022452729,1.409793509812227,1.0562256665196432,1.4279998757436851,1.6941975830336282,8.188627293591722,4.902136647526803,4.271740110098788,2.6748515879288166
6.0,2.086694289162714,1.5754776912232293,1.0376503195228732,1.5832148148873086,1.774425377283386,8.698999722861384,7.0425969843720635,5.45918546841503,3.1275563394253165
7.0,2.0724388518522443,1.4679141002622054,1.0261056037935146,1.275955452857918,1.6444376670703111,9.816149361922484,7.075005115312563,5.341818461657947,2.977635075297723
8.0,2.210294809918311,1.3484208460257097,1.1030982447489412,1.6231079203431695,1.8244961346587294,10.738903031503732,5.962672272119454,6.034518145053611,2.996908358539526
9.0,2.243721633319982,1.4718722499588404,1.2120658695307491,1.5305245098598792,1.8273005811400482,10.991536582090843,5.472335761381119,6.117153101699945,2.9200367231066555
10.0,2.3058003461495873,1.4960439417418248,1.1716904032300075,1.4221118625591695,1.798497062675515,11.52317923464847,6.06569422457255,6.825896456630249,2.5614840786547304
11.0,2.383400048183584,1.5200761479447205,1.152538005120325,1.4217264328271968,1.8018143567954428,12.476574228170552,5.212413507002177,6.962164686933892,2.7364426503661003
12.0,2.3687839777384436,1.5962739265307047,1.2432707437093438,1.467418355009785,1.875805980336701,11.256512876101754,7.097450188549858,7.128564778045777,2.6525507373585957
13.0,2.346797655300646,1.488617993299993,1.311350457538615,1.384297145228337,1.8353309390699764,11.161495897878758,7.7629654123880245,7.141683990978921,2.2195086236393817
14.0,2.4082640201740224,1.7664999747527788,1.3613517139275801,1.5267529830270958,1.960705655811969,9.930394210299328,7.462614505008619,8.20852048555217,2.732867887972975
15.0,2.4623565212135845,1.7789101272152417,1.548191595821275,1.5764706274631897,2.0369101420084674,9.517045536434605,7.019716939672923,9.00997631439138,2.629454990669518
16.0,2.6181506733079845,1.713819256661422,1.5191810770856908,1.7301561985498657,2.082835053228361,10.921921707674848,8.084959080651961,9.495127449137701,1.873274474570512
17.0,2.582926158377147,1.734608825382119,1.3658428581526358,1.4836653955582393,1.966318998309934,11.953543214479103,7.365415825230848,9.09009604307659,1.9559687473273817
18.0,2.880198913435297,1.7353953197620684,1.658862194510098,1.768388777149911,2.176012026620459,13.968880623530087,7.000759634859492,9.672101786853164,2.131425929188848
19.0,3.1109040442470968,2.1624017170408085,1.8477545808377496,2.0501486159556714,2.4150421995008147,13.501006634520637,9.759814554775458,10.014232417634739,2.1441385118347687
20.0,3.2614979737561516,2.3342399196977284,1.75333499741962,2.103906956712256,2.417918296696848,14.249001662571146,11.272312734745014,10.198083755497205,2.6099194292122414
21.0,3.3254403505528947,2.2825159781212228,1.7131529096226916,1.955833168754609,2.3269514710172987,13.396058878579318,11.551837458730725,12.935359509671345,2.4131043024998324
22.0,3.197362133696265,2.1484985494661144,1.676492591535266,1.7623987091271145,2.254531137264955,12.339656634739363,14.107324187743767,11.724932440282087,2.2693481232243946
23.0,3.2028970108477215,2.046986966810432,1.5960648813057399,1.6529951875831854,2.191889602905955,11.61231796663298,15.303138536606477,12.468669311371421,2.597080373094489
24.0,3.131018589320511,2.057463211130753,1.6769129751471463,2.0417908653687302,2.3530981917974305,12.235476646107335,10.861513008355766,12.152008153534487,2.1292810478439597
25.0,3.162209174589353,2.0292232285141045,1.5629352589446062,2.0876138068461065,2.376533655412535,12.128261290731356,8.694650389151795,13.674823275975344,2.6659369214240853
26.0,2.9617325368107283,2.1590762351717405,1.741591801325598,1.938913986406635,2.366631742001723,10.477515282735451,5.376816040789304,12.993682580759591,2.5744966912936156
27.0,3.1713999320103294,2.1778744900676412,1.645575055206125,1.99671577106617,2.354063633730663,11.265596424665775,7.644708767690479,14.494932050570227,2.7015401887328694
28.0,3.1829768125322238,2.2903848019469213,1.4895555174748407,2.31027019023203,2.4444820468100956,9.94883298583793,9.144192913854102,14.234611939409199,3.0040228673953075
29.0,3.0635823716266164,2.4824541838675658,1.782755270036959,2.020829532571408,2.432046549806638,8.934705338820656,8.30607427241279,13.295809074709874,2.6848625594340945
30.0,3.011661051395785,2.4585994687310855,1.7267072314480756,2.2633343411503946,2.5135539723510503,9.004358346526812,6.77843406783451,12.508282678647179,2.7276315771170507
31.0,2.98962574299708,2.2719936611123615,1.7214458055755164,1.950556013070771,2.3743347791856095,10.111152318837474,7.60697911641609,12.530365333997848,3.3198523498502066
32.0,2.894126106968516,2.400912351704869,1.8154081513025877,2.145947422080771,2.490746616970645,9.401854297744105,7.723365604339289,10.367457344378458,3.118361051850116
33.0,2.856326987332901,2.487006436671667,1.790273572040072,2.10802648008159,2.454248467456177,9.683338045586309,5.137139481336272,10.222472290436542,3.1016224881517593
34.0,2.953543350930465,2.5784663647590285,2.058144792956029,2.1960275516623233,2.6154954142041356,9.768624943071973,4.938845886146815,10.027267535542874,3.3755636783423446
35.0,2.8404376974822787,2.3440074781917457,1.9605270948742677,2.0741899420528966,2.486591121840359,9.434514210853779,3.9709677205758274,10.694223785179146,2.8783533709015385
36.0,3.0116713869206793,2.554295077137773,1.8451679877304525,2.2025449338705156,2.519814580152458,10.595761271114984,4.538207990479862,10.99567481367733,3.626834259007777
37.0,2.9788775353341874,2.35595137834999,1.6422053321458756,2.057217838416435,2.3697343136864095,11.457887761905472,3.3289810444899715,11.797677389469248,3.3797332900973185
38.0,3.0436849016925938,2.2019613805942106,1.623676463865401,2.092276742425136,2.3768166047648824,11.882012191725893,4.531345513629407,12.763443438541712,2.6480616173561256
39.0,3.1037340400354108,2.3020061612611373,1.7866509304137568,2.145015268489989,2.460490096636577,10.39478624444601,5.30182157349561,13.629053269424418,3.4205217712574374
40.0,3.16030972972025,2.539329139471732,2.0196266991975245,2.2527268609847013,2.626097337557661,10.362826805683385,5.459082334221657,12.570591411144784,3.7397468025044898
41.0,3.248670989396488,2.425030027039337,1.9526810529696927,2.397535523738787,2.6286793767618253,10.942765344423155,5.152804549209979,13.635985917232203,3.4049417090383898
42.0,3.5607497182659964,2.6657212345978554,1.91529682585081,2.5076160139367887,2.687932294089289,11.856976589445637,5.896652772350894,15.950859675674849,3.4653214910303536
43.0,3.5991645274854416,2.693068368842056,1.9931410471739162,2.46658094280925,2.7220793559681242,13.015499062806393,7.317005475520724,15.119788663638074,3.240183199327121
44.0,3.6582144009611754,2.7703684534856605,2.018339357661784,2.6064870253536228,2.7903629700068575,13.835122322979084,7.576155592655738,14.38133421480622,3.292173999341162
45.0,3.9743470615244076,2.7245850559977636,1.9300931093479323,2.6575614164327486,2.810877180713231,16.1163613272698,6.458802681261551,17.184301069646242,2.9551071605221266
46.0,4.054093195950162,2.37273036853407,1.5553192651017584,2.4518488309201705,2.5501610766443834,16.698909633029547,6.870831624594685,19.643402943501528,2.895157158482194
47.0,4.307419667290024,2.67235364119623,1.8969905780600154,2.626497638344014,2.7640738194493304,17.158735928777592,6.586945824757647,20.698048808920507,3.1830707792773483
48.0,4.567713731790033,2.6112586718370063,2.022619863330904,3.058035929743004,2.9996547998615215,17.152656103172017,9.75074062365165,22.102026509209832,3.0429192894659267
49.0,4.409354458611929,2.7068745339799634,1.8668184232152707,2.9405452703909907,2.8989806301441394,17.24971791478837,8.917479873549953,20.611869262826325,3.176439341942808
50.0,4.638217670408827,2.868437328124023,2.1190761639490874,3.2367264516809318,3.1190454652751196,17.073340100799797,9.146285213210724,21.9802289584594,2.897420158008212
51.0,4.183592094765687,2.633504801140979,1.8502389935581953,2.7715868168659625,2.808836579376881,15.830923669363,8.329717022527452,19.783098334410234,3.0119505465696124
52.0,4.344122538119165,2.3952741715754104,1.7213641468859358,2.793134820576106,2.773063982843438,16.93820364663854,7.228258317138386,21.78669510397267,2.5002361044108286
53.0,4.478957788096465,2.6433277577408485,1.7955701380178848,2.843146923274083,2.8380868959652212,16.389608856661496,7.7059921241091835,22.94585648587199,2.370662021876908
54.0,4.344563563591322,2.6701150871209394,1.6749926087095524,2.778731005497879,2.7602648286927796,16.661856867125096,9.514193320378187,21.03258594125361,2.608774637368707
55.0,4.255950469308771,2.6347877850186987,1.6604679893746113,2.7125439903326805,2.722788288573803,16.780544407455135,9.270058969003912,20.207659761657453,2.4508755018385475
56.0,4.129179303019629,2.452238503563024,1.7592333382566434,2.7707553514167333,2.7711224995231207,14.443689757640737,9.940565656344912,20.450868020511198,2.308063796351069
57.0,4.237076410112686,2.4952149293628834,1.6873283634981848,2.665614571897589,2.6893266923411936,15.314336641828302,8.850002123492576,21.551975609122497,2.6964286441427285
58.0,4.355424591442078,2.6333537414888837,1.8179857980774607,2.5925405515315245,2.7064469264276463,16.637961546343515,7.813749638975899,21.873108484036358,2.2923182511110527
59.0,4.240020093976699,2.40728889787416,1.7237024860773766,2.305117906981316,2.5303667430065877,16.833715896016123,7.353930459040467,21.607884655729027,2.8232127834132545
60.0,4.373714046506098,2.4340384595255946,1.6962140083651227,2.6850394956252157,2.6773755678623554,16.795158965933616,6.187275227650221,22.633542438204806,2.22023622812511
61.0,4.298703270677985,2.6026703042920976,1.6014155187992476,2.7299077268498393,2.691301220167716,16.82435584724612,10.205860546275765,20.568297975099565,2.472079486773715
62.0,4.323892488390811,2.7289770037988648,1.70219606423731,2.8430932808107747,2.817877133346193,16.331822666979818,11.826386722186708,19.994435912218414,3.036221386428441
63.0,4.150903350407973,2.6146276666629973,1.7618761135198537,2.8331500116514716,2.7968842759705446,16.748926448157963,11.847182182352011,17.67388743727604,2.4736349080711606
64.0,4.348689309625997,2.5088224802106525,1.9089930885677866,2.7511044693703313,2.804952941206696,17.669090134151606,12.32202830351694,19.447474670719657,2.774880983865019
65.0,4.4955177953913585,2.4538879937101123,1.6498610163765806,2.5797306744933866,2.6303543034528216,18.823514799955458,13.596377726198265,20.82421986939775,2.4829509014242332
66.0,4.593595050695393,2.7232754452076113,1.7478529859135143,2.5583780645917216,2.717385211933487,18.160875625300424,12.956664585617611,22.07354954830764,2.9000827497819612
67.0,4.5866237152163265,2.707889267004048,1.7540664482942132,2.897927835442369,2.8638627836579227,18.739675458730332,12.653477796762862,20.838674920514674,2.8935338751462174
68.0,4.763974912345388,2.6460514236754142,1.5621014350168647,2.680719870022879,2.7089348729158353,18.40298774197829,14.617966792692807,23.51366706045594,2.9936907930886183
69.0,4.8186191410731745,2.6063863957920037,1.7212508642078708,2.53235018619056,2.690606955472838,19.217163265969834,15.522336429731746,23.43198084547954,2.4929317692808475
70.0,4.691383975906171,2.261172031426791,1.7462094896089697,2.5043881175046114,2.6358338302265727,18.080131120948856,13.55099445216262,24.113991203719486,2.773635279240872
71.0,4.905224651607475,2.7061943530508574,1.7112145949731825,2.589045706466941,2.688619392375599,18.476609410552,15.421712531632558,24.6565208695291,3.323640972993127
72.0,4.762405484643001,2.5274054166095916,1.4586828952013928,2.5418512042128243,2.591801508425409,18.557256248500323,13.450925406141497,24.283228423834085,3.5392478842844888
73.0,4.570760086272828,2.619820480415975,1.5573422404784227,2.436509767697157,2.565020431161023,19.245961701377162,11.593703456648125,21.8589703936702,3.8374841128649577
74.0,4.668124071003206,2.805595322908833,1.7380882722805104,2.7957865494439873,2.8058348267478244,20.294467031200192,10.113378348386865,21.164150275820173,3.215332618827398
75.0,4.779227309566496,2.8348235046988646,2.0404980435509663,2.6737104308861044,2.816407249997887,19.39542601513503,12.220340054714669,22.318696714153763,4.283358422346964
76.0,4.5847236448522795,2.6172293358685503,2.0076981527779996,2.740119094464888,2.8151263845596994,19.310786179571746,13.784975461227875,19.893188996067547,3.788215862583639
77.0,4.736153367863559,2.7471039527129273,1.857668228840753,2.7540285110352745,2.8166003516803078,20.06399497144228,13.713386176463592,21.075562629290744,3.9737079635295296
78.0,4.620702893059122,2.4675591479648356,1.6470926159641774,2.626888670382164,2.683386626178683,19.82344532015745,13.117228568860773,21.3893856226693,3.269126246655601
79.0,4.594569529548666,2.658853596177471,1.7230538026983298,2.4951806352270975,2.6604380382262485,19.77791652673057,14.129126597559987,20.525730564743263,3.134474060903016
80.0,4.718404278746295,2.3930307051765283,1.6147911700574367,2.3346497202089114,2.5494798570971744,21.060334325537212,16.4158069914202,20.90764980342634,3.8733347479832267
81.0,4.971797996614716,2.637513582568058,2.0427039031195586,2.6497961565846193,2.832187016337529,21.501982452234728,16.583650464843863,21.938050832254476,3.5560356841319067
82.0,5.191845838521259,2.692371230213138,2.034138827357331,2.6697155759004016,2.8564392663665314,22.282743634315338,18.275266793657906,23.22256431533485,3.4697004938952847
83.0,5.156716766368695,2.524018097256242,1.823884332103952,2.6437253175814304,2.766360030653861,21.808118066086827,17.573895584682568,24.22389280906301,3.342841347000379
84.0,5.19011108323275,2.3638391840639756,1.7302928023157285,2.627474358431427,2.7216630583987023,23.22568007955213,18.837208657155948,23.253917162005642,3.244140502842249
85.0,5.242621347879284,2.5467216178249403,1.7757875534440148,2.491135851500322,2.6993280695442805,24.540776328378712,20.515605251666635,21.688863422851984,2.849592384061413
86.0,5.216729926186169,2.465446167822651,1.8650019742090538,2.6972839887659976,2.7751073861937914,22.595698169144004,21.579872565783383,22.45033067688201,2.919339070304151
87.0,5.254542719500301,2.5163553149131133,1.7190519959933013,2.7288093068805286,2.7637501598302747,23.04867669180105,21.390378007464157,22.470129137343424,3.9294864705002785
88.0,5.437431803336396,2.4954574255512547,1.7298274919248786,2.742535266849684,2.7582520880084784,23.463642168461305,21.98562642684627,24.25551796867609,3.5289710841808857
89.0,5.524424903683977,2.513772596408228,1.870736105900525,2.618917677201917,2.7691412444546715,24.067025603984316,21.09793253081974,25.191530631654278,3.741942107278869
90.0,5.686453241419742,2.722980460923245,1.8251597057133828,2.608328329708479,2.773998836539418,24.944946175977766,22.897031058213297,25.312827597399245,3.5117702348595325
91.0,5.74953960553258,2.8394543305555486,1.875429985488239,2.8135993087797395,2.8832029835350355,24.61891745977359,24.31819102983529,24.922986973419402,4.258516355554611
92.0,5.642710772368659,2.5689216496803984,1.9181390524040722,2.853667306728398,2.8622662630977955,25.098820666276936,21.319476002738135,24.92473403833477,4.060426791650461
93.0,5.5412060413406685,2.643987356502125,1.7644896257292346,2.8406418990724367,2.8390484290145133,25.708345372272948,22.047514701967128,22.674296028194203,3.850394860340435
94.0,5.4212658088574335,2.756130317525181,1.838688010446048,2.6342773808592357,2.793128472631514,24.667593786089057,23.855776936677064,21.168489394738188,4.0882298791133715
95.0,5.067425276827387,2.380693008047889,1.76565362105339,2.4946166202260143,2.6700160284976633,23.192406303900444,23.210564792663877,19.36814925381207,3.7485094908140884
96.0,5.147233542409982,2.195597843831612,1.6698520083498283,2.4932827879229644,2.6312881797474117,22.021827098837235,23.652753562847515,22.091842529301424,3.443031619498535
97.0,5.2193099995661765,2.4904409221075827,1.7410828482919063,2.6385370687408782,2.740387224713631,22.22088391362761,24.06679644883943,21.67849541482408,3.3602892988771895
98.0,5.1619640524344295,2.654529560363755,1.962975848590055,2.774363293215181,2.8779194365611382,20.657921685634857,22.85209418872883,22.153845343356988,3.1942267106423796
99.0,5.187850097849333,2.4792728350702937,1.5159155562957745,2.5113417329707213,2.607774414928317,21.93944552785747,24.08257335290917,22.098291935703177,3.4810144729668555
100.0,5.406956738608411,2.622856023301387,2.0401194082746295,2.780219083763936,2.867723620257308,22.453397161418586,24.242199510713206,22.97098017772857,2.8131704834537135
101.0,5.300908577128588,2.6751759614429105,1.8519918822809494,2.4397404678020007,2.6898859110166726,23.035480414940952,23.519319196295758,22.21119335792403,2.9604800617807507
102.0,5.168089366285316,2.477172990348705,1.8907488025593977,2.412603397850409,2.6644077740572145,21.251101988262743,23.817282565461486,22.28282689531492,3.7100461288333793
103.0,5.598506297628461,2.5096665155570723,1.7336657377984357,2.431541548807804,2.636946696400199,24.961084648674163,25.833848062599916,23.389322071319743,3.575483893639059
104.0,5.631284474918248,2.2260904987169625,1.6417026177980794,2.1807394249421233,2.467724268114107,25.509807009597438,27.45371311035287,23.18735989394393,4.386803399964762
105.0,5.6611690336431195,2.458420385709447,1.718175857728147,2.587942460855696,2.6702318109837915,25.530875094946914,25.775929609831504,23.519544802337887,3.462627420125957
106.0,5.515819259810668,2.6614121084156537,1.6904106736246967,2.5823975716591456,2.7069462274589657,24.180895287064242,23.866956225906364,23.64780189949109,3.6330895822696507
107.0,5.510064601131083,2.5341289429047626,1.6198094827629876,2.338584127169949,2.555131695859377,24.726230004515966,23.30504469169612,24.08991589958953,3.6897290301289307
108.0,5.410835098584729,2.487848007744328,1.6539672916134678,2.3587738665057723,2.558939740919201,24.859343823207144,23.771353366943025,22.250216173823663,4.190190458749957
109.0,5.57745187789497,2.357846199557161,1.8937703507683699,2.59261183118845,2.7081727468233425,25.523022639675535,24.515622091218138,22.969386633836372,3.7115317413438995
