Frame,RMSD of the whole system (alignment on cores),RMSD of tubulin core A (alignement on tubulin core A),RMSD of tubulin core B (alignement on tubulin core B),RMSD of tubulin core C (alignement on tubulin core C),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on core A)","RMSD of CTT B (beta chain, alignment on core B)","RMSD of CTT C (beta chain, alignment on core C)",RMSD of R2 (alignment on R2)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1.0,1.1394301854301465,0.8623310341959411,0.8139390943503428,0.9070261258671471,1.2525001077710687,4.79472228659792,3.41555389353467,3.546285800674741,-1.0
2.0,1.4492154066686127,1.343165091755571,1.0572494434016748,1.3471392361555472,1.5913743688862936,4.506024357185812,3.7320743357919017,3.687906793189582,-1.0
3.0,1.6674586779855323,1.3110248831340925,1.0729464253383676,1.2134858211478947,1.5768898465562369,6.815518369746098,3.1476735579847803,7.1456455156267085,-1.0
4.0,1.8802509793073874,1.3266152317396278,1.188410308140759,1.629277511934909,1.820586079662643,6.3766694965899715,2.742673400617169,8.926501796799524,-1.0
5.0,1.878393451805393,1.108074446226412,1.2454394520682994,1.4380697358460708,1.739807145711966,8.086379119555394,5.228604225474342,7.975916184766985,-1.0
6.0,2.074792478089304,1.3220666313586977,1.3346120022091312,1.5820610392077306,1.8412004699126139,7.779111483629309,5.306367981469399,9.8915693947376,-1.0
7.0,1.9686161671914686,1.4685393295479146,1.2813311701048726,1.4786721743058933,1.8495959094780476,6.427230348096647,3.829850043105881,9.77724407698588,-1.0
8.0,2.225478765160518,1.5676938872230841,1.4122238228459045,1.6415954414815364,1.9553133806253853,7.601339622155293,5.642338390443183,10.949341737369293,-1.0
9.0,2.493735344655918,1.3067662610345598,1.4618486999725038,1.5022838696832583,1.865739189908156,9.870850811770206,8.034409322985736,13.310659535589057,-1.0
10.0,2.7737987258261207,1.7074080385523838,1.5764545636564,2.0240311208590276,2.145258504643508,10.348444085903882,7.501835490014396,14.246205424530874,-1.0
11.0,2.8795317483688674,1.5335763465589174,1.5251392182289507,1.9670515376974695,2.1410504221485076,10.380551444501894,9.729787483823644,15.578352167065555,-1.0
12.0,2.6744263663777277,1.4136574238011255,1.30422313598598,1.8434464047454775,1.9969918501336883,10.07383210177135,10.521758815186836,13.666121987332266,-1.0
13.0,2.6898328108944076,1.7391555765305777,1.3595780722406987,1.8218971921165543,2.031377810705385,7.568615027420713,10.661417520280581,14.446255911293813,-1.0
14.0,2.73034959465309,1.484528551494447,1.1974083207629689,1.619268870129198,1.9041690428368299,7.730086562016157,12.888251222543108,15.224299097606156,-1.0
15.0,2.807034094086408,1.5011465125721033,1.2806022115143243,1.9178989243025795,2.0691895383167616,7.724742709148842,13.706210529983986,14.718083213762487,-1.0
16.0,2.8251688094943175,1.5213418099055596,1.324482123568,1.7178070234761609,2.009287816528662,8.776230819655792,12.492918873847705,15.587777550834423,-1.0
17.0,2.751077970214669,1.4256573622272943,1.2383568476970213,1.7380472489400427,1.9865382498941098,8.458565049892607,12.814682568400993,14.899356930507771,-1.0
18.0,2.798386153105779,1.451510087775203,1.2184650306112539,1.647850763807836,1.9687999615998077,8.92182137167831,13.577951856778395,15.033730699548816,-1.0
19.0,2.9024872274292712,1.5823845957463938,1.3665282759781383,1.9188928459581596,2.1351711876533868,9.496690873672215,13.579542492727048,14.763541393991614,-1.0
20.0,2.7900583668534584,1.8279124977362382,1.4756736603531129,2.0442608693160587,2.2346406229762645,8.656977259833223,12.115380808044263,13.12638602112595,-1.0
21.0,2.783299255680596,1.4222004345028836,1.2935520367327187,1.8062974231172917,2.047012209609661,9.12440093397687,12.867760057651015,14.619546625434136,-1.0
22.0,2.964891182141126,1.6749075946115337,1.381903387249559,1.8478519665705304,2.11831851550671,11.481631605838455,11.540065702885796,15.455517480991343,-1.0
23.0,2.8844794482250116,1.650656390019759,1.2197839479939423,1.8719411087520204,2.090306748420597,9.323426915853648,11.712912648190983,15.988064219547958,-1.0
24.0,3.044046272192564,1.850546095346423,1.363491704696414,2.2120559056984397,2.3097487730987716,8.994610825921418,13.23430540707523,15.697365995688505,-1.0
25.0,2.905173218711908,1.8989658233530928,1.241382610786605,1.9508833229086997,2.1647560675809725,9.842205281454115,13.053796690847102,14.182584091561663,-1.0
26.0,2.980872810971494,1.7824393897814235,1.2604298807786147,1.9855753050562674,2.1703105342605897,10.709537242284394,13.516997502399597,14.625851477772416,-1.0
27.0,2.837115186780768,1.5787401169140558,1.2357796978346003,2.1341400755444804,2.200297815835971,10.331162770858283,12.024089405105174,13.764785859307393,-1.0
28.0,2.8899889261429896,1.8349405783057875,1.3422813609343938,2.384414669312643,2.373152734343171,9.770553837706673,12.179560921058785,12.882528387119663,-1.0
29.0,2.854208060630023,1.6974306821308522,1.2800954661397483,2.121715004189141,2.2509248639480806,10.049834650231537,12.783019260377833,13.34913817065194,-1.0
30.0,2.997081055502411,1.742630145926625,1.4845404197221557,2.118766535381806,2.310568834368195,11.71873539681395,11.48539572266233,14.496222239604768,-1.0
31.0,3.1377045177969505,1.8886509082750835,1.4502466090681196,1.9571690656647411,2.241821959420466,13.828349249446875,13.348530639423693,13.914683640406052,-1.0
32.0,3.3295732433431997,1.9296267010400587,1.7129500400245588,2.294236736535513,2.477992943769507,15.086547716952213,12.641672780862779,14.329548196578465,-1.0
33.0,3.501321432811782,1.488108921640571,1.4889207806155393,1.971917903127538,2.2418385946995194,17.57046466619318,16.32007778982447,14.935355065642273,-1.0
34.0,3.525684300688389,1.7074011435080285,1.484333440970081,1.8741085025605153,2.2494606410684663,16.087838758886978,15.527820567053523,17.220507585187693,-1.0
35.0,3.360112960037654,1.5984258358442305,1.4690081759445008,2.0602592829071544,2.2861763310233427,15.980805413321143,14.171091118801826,15.334624380263664,-1.0
36.0,3.524739999827303,1.6749867986963973,1.5668228511539828,2.131703629799203,2.349038389578133,15.242111394866004,17.31623697713224,15.87461503038064,-1.0
37.0,3.393036467552927,1.9528073411504219,1.4951696722027115,2.4396580780875916,2.5024167483641544,13.105050978851953,15.911700172109057,14.995112034707391,-1.0
38.0,3.3145632900486195,2.1744429999187234,1.5075136055979022,2.345409279941287,2.496461130335922,13.003727285316328,13.76490932130365,14.883952854045349,-1.0
39.0,3.2227361009507836,2.056103389794298,1.499016746155793,2.2688226182524236,2.440447189464731,12.442661370404812,12.744356623967017,15.20230571114329,-1.0
40.0,3.192809476812958,1.9538969777496793,1.6882134943815197,2.1552506493345245,2.461264834382859,12.291743902599197,12.382194993578283,15.294419197007128,-1.0
41.0,3.377543787674356,1.757521112765297,1.6517228223955398,2.123165077934439,2.411905778825567,11.61464117548721,16.20268835582641,16.940080452364523,-1.0
42.0,3.3178352870009524,1.8973672161561261,2.007761329112618,2.5030932328084825,2.6878307550819396,11.112215020774471,13.71661927444953,15.332060003208573,-1.0
43.0,3.5667044355991124,2.0290887112449902,2.240041255690914,2.5153913797597185,2.7613674123649403,11.891296053454983,15.136501464339121,16.693060582566094,-1.0
44.0,3.9210865217114805,2.2622135650863284,2.08872803612029,2.6139232419135547,2.776555462774568,13.841743473696267,20.16309132337808,16.765982028573468,-1.0
45.0,3.870516815171232,2.2017572319750247,2.091565957522299,2.6837157549667,2.8215314763665162,16.124240878193476,17.816145026687863,15.631102934618946,-1.0
