Frame,RMSD of the whole system (alignment on whole system),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on CTT A)","RMSD of CTT B (beta chain, alignment on CTT B)","RMSD of CTT C (beta chain, alignment on CTT C)",RMSD of all CTTs (alignment on all CTTs),RMSD of R2 (alignment on R2)
0.0,5.187938847555117e-08,6.113833333005556e-07,1.3879738837185585e-07,8.387947487362747e-08,6.524090863251926e-08,5.097663378291536e-07,-1.0
1.0,1.1749191524943097,1.3177089997536005,1.0107969011326947,1.6669368143132992,2.0929977548785303,2.9556740707332922,-1.0
2.0,1.444317925955687,1.5446920224261702,1.8761171260490883,1.9432826995222212,2.0961957169364913,4.148199212396614,-1.0
3.0,1.3326942253657936,1.5523175810644958,1.8478241633894326,1.7504521239832105,2.3558837700840884,4.340613190844929,-1.0
4.0,1.3939299515657555,1.592703185738532,2.1104973504652174,1.4921355157481742,2.2267342498043092,4.598222032742732,-1.0
5.0,1.5509642321963788,1.636927954517737,2.997378110521007,1.9388471159820189,1.525254686833058,4.725363966100956,-1.0
6.0,1.595651432471791,1.756166954877321,1.9226569949070111,2.078633677610509,1.298005983314126,4.898181007869647,-1.0
7.0,1.6509956493238382,1.7347378030785454,2.137234074460879,2.3120686037999096,2.170261024417007,5.5520238532830195,-1.0
8.0,1.6440855926345095,1.7057779159670268,2.458189029250419,1.194308579367374,2.058743424944737,5.252242128574371,-1.0
9.0,1.6940137329589768,1.8585303497989283,2.4901407235691737,1.7034235059301097,1.6639153515207767,3.9862418772716084,-1.0
10.0,1.5229404996301648,1.6804735521189667,1.822478215807786,1.83138537230518,1.6988509460722505,4.307511597289375,-1.0
11.0,1.8054197572259851,1.856771266896127,2.7616897393127156,1.7697089273506554,2.7184146609846973,5.122594431071571,-1.0
12.0,2.1037726707180244,1.796975699853061,2.7732412094177303,1.122118340936575,3.7833648752512703,7.131166671384768,-1.0
13.0,2.3692651999843113,1.9266201907381466,3.197812800957806,1.529706410906617,5.507225512789915,8.513321471829212,-1.0
14.0,2.57004594773876,1.927800579466805,3.447592551349757,1.8725035218090653,6.2544871815610685,9.214667318375442,-1.0
15.0,2.4705655465210405,1.9290469808613975,4.243436701807457,2.1745680027130705,6.469475048502404,9.035515380828661,-1.0
16.0,2.755592029104097,2.0082241391893967,4.541216911510769,3.0705888681163644,5.991529943273289,10.565797618499706,-1.0
17.0,2.705485140650162,1.9938131338349794,5.428501291750001,2.4790240379967625,6.703394844039381,10.300352770406139,-1.0
18.0,2.892164762652464,1.9884984940615849,6.0553795255059235,2.3999309099568107,7.261880712929649,10.845647685860486,-1.0
19.0,2.929369820493704,1.9831292689237268,5.756288589801421,2.93022082676025,7.21436204573817,10.982991268231558,-1.0
20.0,2.9786252941764153,2.167474291931373,5.6036503775332305,2.8035203416409926,6.640239225926878,11.423164748942341,-1.0
21.0,2.961870271688624,2.1773409852511736,6.295639297418432,2.557551375807546,6.244015394927022,11.512665038511928,-1.0
22.0,2.929926667835194,2.1271480720837825,7.312911545929426,2.826337977161976,5.985304882358046,11.847000939851286,-1.0
23.0,2.953695229258567,2.214368737460195,8.189812799227859,2.640754426472468,5.113879379988383,11.379653982803449,-1.0
24.0,3.010183819322451,2.0588718263965498,7.484140734421836,2.4321166341724894,6.179117199588436,11.889113675635999,-1.0
25.0,3.0857353930011358,2.2788367733574635,6.627765215582839,2.356338892920821,4.936309495956836,12.548026485933976,-1.0
26.0,3.2870577331095654,2.382587147842051,5.265157403854625,2.8457375183959006,5.998689476846713,12.477493903797122,-1.0
27.0,3.4116701525801494,2.433785677091128,5.783799596757441,2.9127836371610343,3.4574160716450244,12.291533433399485,-1.0
28.0,3.4105919267003006,2.3993526850432954,5.488790192540389,2.5854126107021402,3.598073661464685,11.292285990133403,-1.0
29.0,3.6582275173705963,2.5455420565842455,7.926261123725712,1.8660276823535227,4.017955899064189,11.533439429468098,-1.0
30.0,3.6470441167892322,2.4761693632399027,8.739957527354377,2.635230267598538,4.734547111412193,12.22060288662324,-1.0
31.0,3.5003607052922185,2.47296006583652,8.927001513352987,2.641950492766768,4.822130053949149,11.669848882227674,-1.0
32.0,3.6465997612233485,2.6796169142999915,8.964230630741621,2.6491868598573163,4.451110234574544,11.497766423773824,-1.0
33.0,3.536605693581675,2.5531330575695734,8.63497288592932,2.5170366425193382,4.402515091625485,11.634398374474547,-1.0
34.0,3.6908140372524687,2.615553858291898,7.99108076134481,3.5524572143799693,4.6286479659285575,12.80156198958533,-1.0
