Frame         Time          Elec          VdW           Total         
0             0             -951.306      -92.0897      -1043.4       
1             1             -993.345      -99.5575      -1092.9       
2             2             -988.367      -86.1405      -1074.51      
3             3             -959.549      -86.8548      -1046.4       
4             4             -874.006      -90.0904      -964.097      
5             5             -899.572      -82.5529      -982.125      
6             6             -938.464      -83.0038      -1021.47      
7             7             -965.325      -80.5024      -1045.83      
8             8             -916.891      -88.0097      -1004.9       
9             9             -950.847      -79.621       -1030.47      
10            10            -961.165      -77.5924      -1038.76      
11            11            -914.996      -73.9853      -988.982      
12            12            -936.963      -73.7684      -1010.73      
13            13            -895.035      -71.414       -966.449      
14            14            -850.584      -69.6811      -920.265      
15            15            -845.502      -84.3613      -929.863      
16            16            -798.511      -79.2515      -877.763      
17            17            -770.787      -82.6998      -853.487      
18            18            -915.57       -73.6855      -989.256      
19            19            -816.752      -77.9152      -894.667      
20            20            -864.345      -73.5186      -937.864      
21            21            -854.788      -80.0108      -934.798      
22            22            -906.55       -68.1355      -974.686      
23            23            -954.044      -73.8561      -1027.9       
24            24            -908.26       -73.7746      -982.034      
25            25            -887.844      -72.6897      -960.534      
26            26            -886.955      -71.7751      -958.73       
27            27            -934.312      -65.4067      -999.719      
28            28            -970.059      -69.4269      -1039.49      
29            29            -993.697      -62.5048      -1056.2       
30            30            -939.542      -85.3371      -1024.88      
31            31            -974.149      -77.5963      -1051.75      
32            32            -898.582      -67.497       -966.079      
33            33            -933.814      -79.8702      -1013.68      
34            34            -888.196      -71.4093      -959.605      
35            35            -914.972      -80.4021      -995.374      
36            36            -940.747      -71.5702      -1012.32      
37            37            -950.192      -73.9417      -1024.13      
38            38            -903.296      -77.8123      -981.109      
39            39            -1020.24      -87.4483      -1107.69      
40            40            -928.876      -82.623       -1011.5       
41            41            -1025.34      -72.5184      -1097.86      
42            42            -953.745      -67.3896      -1021.13      
43            43            -1076.15      -62.2273      -1138.38      
44            44            -1050.86      -66.0448      -1116.9       
45            45            -1050.3       -72.629       -1122.93      
46            46            -956.834      -69.0957      -1025.93      
47            47            -975.471      -70.5133      -1045.98      
48            48            -1005.95      -64.048       -1069.99      
49            49            -1044.18      -70.7905      -1114.97      
50            50            -958.64       -79.5903      -1038.23      
51            51            -974.155      -64.5467      -1038.7       
52            52            -998.858      -69.9188      -1068.78      
53            53            -970.527      -67.3128      -1037.84      
54            54            -978.153      -75.5272      -1053.68      
55            55            -1064.97      -63.8242      -1128.79      
56            56            -1195.87      -71.1909      -1267.06      
57            57            -980.375      -71.9236      -1052.3       
58            58            -1091.43      -58.5851      -1150.02      
59            59            -1146.81      -58.3947      -1205.21      
60            60            -1031.89      -63.4872      -1095.38      
61            61            -1015.72      -68.5629      -1084.29      
62            62            -1074.86      -68.0426      -1142.91      
63            63            -924.535      -65.5459      -990.081      
64            64            -1008.17      -67.5619      -1075.74      
65            65            -975.332      -58.5822      -1033.91      
66            66            -1014.1       -59.574       -1073.67      
67            67            -969.419      -59.8537      -1029.27      
68            68            -986.964      -61.6997      -1048.66      
69            69            -1011.63      -55.4973      -1067.13      
70            70            -925.396      -65.3682      -990.764      
71            71            -1044.43      -69.6771      -1114.11      
72            72            -1068.54      -72.5157      -1141.06      
73            73            -904.651      -80.506       -985.157      
74            74            -982.933      -68.6668      -1051.6       
75            75            -1017.65      -67.8463      -1085.49      
76            76            -980.209      -67.2362      -1047.44      
77            77            -978.097      -71.7984      -1049.9       
78            78            -906.656      -70.9146      -977.571      
79            79            -1008.82      -59.3379      -1068.16      
80            80            -1055.1       -68.2368      -1123.33      
81            81            -956.569      -74.3811      -1030.95      
82            82            -1106.85      -72.2242      -1179.08      
83            83            -1023.44      -79.7631      -1103.21      
84            84            -998.44       -70.7702      -1069.21      
85            85            -1006.86      -68.0156      -1074.87      
86            86            -1081.5       -57.5414      -1139.04      
87            87            -913.973      -63.4818      -977.454      
88            88            -948.451      -61.2593      -1009.71      
89            89            -1006.46      -60.4124      -1066.87      
90            90            -1095.78      -68.5465      -1164.33      
91            91            -1007.77      -69.1756      -1076.95      
92            92            -976.259      -66.5363      -1042.8       
93            93            -963.264      -53.3914      -1016.66      
94            94            -954.226      -59.4433      -1013.67      
95            95            -934.441      -63.4886      -997.929      
96            96            -978.873      -73.7324      -1052.61      
97            97            -963.983      -64.3889      -1028.37      
98            98            -1101.06      -61.1263      -1162.19      
99            99            -1057.93      -69.547       -1127.48      
100           100           -962.955      -66.0984      -1029.05      
101           101           -960.119      -65.7472      -1025.87      
102           102           -910.623      -65.1381      -975.761      
103           103           -888.994      -73.8397      -962.834      
104           104           -919.571      -69.2083      -988.78       
105           105           -944.161      -60.2338      -1004.4       
106           106           -831.714      -72.7529      -904.467      
107           107           -791.397      -74.4288      -865.826      
108           108           -894.119      -69.6955      -963.814      
109           109           -866.521      -76.858       -943.379      
110           110           -1042.5       -78.7068      -1121.2       
111           111           -1088.54      -76.5562      -1165.09      
112           112           -1048.52      -75.3266      -1123.85      
113           113           -1072.15      -65.0824      -1137.23      
114           114           -1079.17      -74.8544      -1154.03      
115           115           -1095.51      -72.1175      -1167.63      
116           116           -1082.55      -72.4259      -1154.98      
117           117           -1135.8       -73.8275      -1209.62      
118           118           -1176.53      -64.0762      -1240.6       
119           119           -1113.9       -75.113       -1189.01      
120           120           -1118.11      -66.136       -1184.24      
121           121           -1093.23      -58.4718      -1151.7       
122           122           -1098.24      -64.6515      -1162.9       
123           123           -1147.31      -58.6096      -1205.92      
124           124           -1132.18      -52.9426      -1185.12      
125           125           -1069.73      -68.03        -1137.76      
126           126           -1113.77      -49.8718      -1163.65      
127           127           -1098.43      -51.944       -1150.37      
128           128           -1009.2       -52.3473      -1061.55      
129           129           -1012.71      -61.4503      -1074.16      
130           130           -1002.25      -64.7586      -1067.01      
131           131           -1025.96      -53.9818      -1079.94      
132           132           -1016.67      -69.5053      -1086.18      
133           133           -999.936      -60.1524      -1060.09      
134           134           -1058.81      -54.9453      -1113.75      
135           135           -1002.8       -53.3981      -1056.2       
136           136           -1054.05      -65.407       -1119.45      
137           137           -1033.13      -63.2113      -1096.34      
138           138           -966.413      -63.9527      -1030.37      
139           139           -983.132      -54.2411      -1037.37      
140           140           -896.072      -57.4943      -953.567      
141           141           -910.72       -59.941       -970.661      
142           142           -991.511      -60.5514      -1052.06      
143           143           -972.437      -66.6989      -1039.14      
144           144           -1013.17      -59.8657      -1073.03      
145           145           -1102.82      -57.2328      -1160.05      
146           146           -1075.47      -56.2129      -1131.68      
147           147           -1019.02      -68.3849      -1087.4       
148           148           -1029.65      -60.4695      -1090.12      
149           149           -1021.44      -58.413       -1079.85      
150           150           -970.46       -67.0456      -1037.51      
151           151           -1090.45      -72.386       -1162.83      
152           152           -1110.7       -72.3248      -1183.02      
153           153           -1063.51      -68.4446      -1131.95      
154           154           -946.663      -68.7806      -1015.44      
155           155           -1015.69      -64.8197      -1080.51      
156           156           -1024.22      -59.6454      -1083.87      
157           157           -978.005      -78.5763      -1056.58      
158           158           -983.162      -71.289       -1054.45      
159           159           -956.264      -65.7998      -1022.06      
160           160           -933.617      -66.0446      -999.662      
161           161           -937.813      -69.8625      -1007.68      
162           162           -958.466      -63.1584      -1021.62      
163           163           -949.687      -68.7572      -1018.44      
164           164           -1006.06      -68.8095      -1074.87      
165           165           -883.332      -72.9867      -956.319      
166           166           -851.266      -76.0223      -927.288      
167           167           -869.413      -73.6713      -943.084      
168           168           -880.399      -72.5531      -952.952      
169           169           -856.154      -76.2092      -932.363      
170           170           -847.771      -77.0501      -924.821      
171           171           -884.809      -74.3103      -959.119      
172           172           -900.715      -71.7023      -972.417      
173           173           -882.791      -69.1565      -951.948      
174           174           -954.538      -75.4071      -1029.95      
175           175           -918.401      -71.8282      -990.229      
176           176           -967.462      -69.6125      -1037.07      
177           177           -978.454      -76.3514      -1054.81      
178           178           -1017.65      -72.1595      -1089.81      
179           179           -1061.8       -68.0032      -1129.8       
180           180           -1019.53      -77.6071      -1097.14      
181           181           -1023.85      -69.7586      -1093.61      
182           182           -996.25       -69.8022      -1066.05      
183           183           -1005.58      -75.6525      -1081.23      
184           184           -1030.75      -67.3455      -1098.09      
185           185           -1064.71      -64.0881      -1128.79      
186           186           -972.953      -71.7311      -1044.68      
187           187           -941.549      -64.9878      -1006.54      
188           188           -1017.02      -72.0137      -1089.03      
189           189           -961.128      -68.4086      -1029.54      
190           190           -936.585      -60.3367      -996.921      
191           191           -1037.47      -63.4618      -1100.93      
192           192           -1035.18      -66.4302      -1101.61      
193           193           -1049.14      -67.7196      -1116.86      
194           194           -1065.48      -68.4301      -1133.91      
195           195           -1018.66      -66.7333      -1085.39      
196           196           -917.099      -64.7925      -981.892      
197           197           -1006.91      -65.4935      -1072.4       
198           198           -954.12       -65.3454      -1019.47      
199           199           -999.22       -52.6735      -1051.89      
200           200           -950.841      -71.6147      -1022.46      
201           201           -972.894      -80.8104      -1053.7       
202           202           -1027.24      -81.7672      -1109         
203           203           -1039.81      -85.2368      -1125.04      
204           204           -1134.85      -79.6875      -1214.54      
205           205           -1100.88      -79.1035      -1179.98      
206           206           -1064.99      -71.7664      -1136.76      
207           207           -1105.72      -75.4564      -1181.18      
208           208           -1103.72      -84.0474      -1187.77      
209           209           -1124.33      -89.2194      -1213.55      
210           210           -1113.46      -71.955       -1185.42      
211           211           -1126.22      -83.0729      -1209.29      
212           212           -1058.12      -70.2249      -1128.35      
213           213           -1169.16      -74.873       -1244.03      
214           214           -1089.01      -71.0025      -1160.02      
215           215           -1186.96      -76.5093      -1263.47      
216           216           -1126.34      -83.9566      -1210.3       
217           217           -1141.54      -67.6496      -1209.19      
218           218           -1281.08      -63.7507      -1344.83      
219           219           -1174.67      -74.7893      -1249.46      
220           220           -1191.86      -74.9569      -1266.82      
221           221           -1082.69      -81.2066      -1163.9       
222           222           -1134.16      -77.8828      -1212.04      
223           223           -1155.23      -83.4856      -1238.72      
224           224           -1187.67      -81.1199      -1268.79      
225           225           -1155.07      -74.402       -1229.48      
226           226           -1195.42      -76.3817      -1271.8       
227           227           -1065.02      -67.4022      -1132.43      
228           228           -960.241      -66.5103      -1026.75      
229           229           -1058.69      -68.1041      -1126.79      
230           230           -1117.05      -73.0964      -1190.15      
231           231           -1091.7       -69.1648      -1160.86      
232           232           -1045.73      -79.4749      -1125.21      
233           233           -1025.53      -72.284       -1097.81      
234           234           -999.441      -62.8813      -1062.32      
235           235           -1039.57      -80.5817      -1120.15      
236           236           -1051.43      -80.578       -1132.01      
237           237           -1006.27      -75.4601      -1081.73      
238           238           -1003.74      -69.6064      -1073.34      
239           239           -981.482      -68.6786      -1050.16      
240           240           -933.595      -69.1135      -1002.71      
241           241           -936.554      -80.2671      -1016.82      
242           242           -993.166      -80.8917      -1074.06      
243           243           -1017.77      -66.417       -1084.19      
244           244           -1043.22      -62.7207      -1105.94      
245           245           -997.568      -72.7875      -1070.36      
