Frame         Time          Elec          VdW           Total         
0             0             -871.746      -107.804      -979.551      
1             1             -924.107      -107.898      -1032.01      
2             2             -934.338      -89.2681      -1023.61      
3             3             -985.733      -98.6061      -1084.34      
4             4             -1093.74      -95.0125      -1188.76      
5             5             -1091.03      -95.4155      -1186.45      
6             6             -1063.9       -110.523      -1174.42      
7             7             -1002.89      -104.484      -1107.37      
8             8             -963.484      -97.7295      -1061.21      
9             9             -1068.27      -101.061      -1169.33      
10            10            -1012.73      -106.259      -1118.99      
11            11            -1093.54      -89.3506      -1182.89      
12            12            -1063.25      -90.183       -1153.44      
13            13            -1092.28      -95.1037      -1187.38      
14            14            -1046.95      -94.2711      -1141.22      
15            15            -975.167      -93.2267      -1068.39      
16            16            -966.587      -95.507       -1062.09      
17            17            -880.222      -93.5666      -973.788      
18            18            -880.918      -95.995       -976.913      
19            19            -816.712      -99.447       -916.159      
20            20            -976.418      -99.3898      -1075.81      
21            21            -934.913      -93.6076      -1028.52      
22            22            -1102.54      -77.9104      -1180.45      
23            23            -1021.16      -81.8477      -1103.01      
24            24            -979.861      -92.274       -1072.13      
25            25            -1017.48      -94.1168      -1111.6       
26            26            -1029.97      -81.712       -1111.68      
27            27            -1005.4       -91.1483      -1096.55      
28            28            -1047.52      -87.7319      -1135.25      
29            29            -984.756      -104.275      -1089.03      
30            30            -1062.07      -82.2365      -1144.31      
31            31            -994.111      -75.1823      -1069.29      
32            32            -1026.02      -84.983       -1111.01      
33            33            -1017.26      -92.4185      -1109.68      
34            34            -1061.36      -92.5522      -1153.91      
35            35            -1071.15      -80.7456      -1151.9       
36            36            -981.515      -91.4761      -1072.99      
37            37            -992.887      -94.9987      -1087.89      
38            38            -943.417      -93.2545      -1036.67      
39            39            -978.551      -88.451       -1067         
40            40            -972.595      -85.855       -1058.45      
41            41            -1027.59      -92.7914      -1120.38      
42            42            -1017.5       -82.372       -1099.88      
43            43            -1096.2       -82.6601      -1178.86      
44            44            -1047.58      -76.9433      -1124.52      
45            45            -1024.07      -81.8422      -1105.91      
46            46            -1018.24      -71.7692      -1090.01      
47            47            -1077.43      -82.0828      -1159.52      
48            48            -1058.37      -85.0605      -1143.43      
49            49            -1047.32      -85.5548      -1132.87      
50            50            -1121.75      -87.2951      -1209.05      
51            51            -1017.96      -76.4759      -1094.44      
52            52            -1059.06      -83.7519      -1142.81      
53            53            -1045.07      -61.0772      -1106.14      
54            54            -954.047      -73.0518      -1027.1       
55            55            -921.573      -78.9683      -1000.54      
56            56            -1002.68      -76.8637      -1079.54      
57            57            -1025.17      -79.4685      -1104.64      
58            58            -1180.48      -73.8784      -1254.35      
59            59            -1147.31      -70.8802      -1218.19      
60            60            -1110.54      -76.3808      -1186.92      
61            61            -1130.1       -78.4894      -1208.59      
62            62            -1125.37      -93.2344      -1218.6       
63            63            -1128.44      -66.4384      -1194.87      
64            64            -1063.52      -73.1159      -1136.63      
65            65            -1192.88      -76.1324      -1269.01      
66            66            -1143.42      -81.9374      -1225.35      
67            67            -1169.16      -72.4372      -1241.6       
68            68            -1167.95      -66.8467      -1234.8       
69            69            -1123.75      -82.4707      -1206.22      
70            70            -1159.51      -81.3018      -1240.81      
71            71            -1182.42      -79.0839      -1261.51      
72            72            -1194.35      -70.3844      -1264.73      
73            73            -1115.26      -94.4529      -1209.71      
74            74            -1109.39      -73.3462      -1182.73      
75            75            -1130.22      -85.6417      -1215.86      
76            76            -1243.34      -81.9232      -1325.26      
77            77            -1231.18      -76.6364      -1307.82      
78            78            -1233.33      -83.4043      -1316.73      
79            79            -1303.01      -71.8805      -1374.89      
80            80            -1254.67      -79.4136      -1334.09      
81            81            -1213.82      -73.358       -1287.18      
82            82            -1148.02      -79.4808      -1227.5       
83            83            -1208.69      -69.1538      -1277.84      
84            84            -1166.59      -79.614       -1246.21      
85            85            -1242.62      -70.2024      -1312.83      
86            86            -1234.23      -71.0398      -1305.27      
87            87            -1176.45      -86.6972      -1263.15      
88            88            -1228.88      -82.222       -1311.1       
89            89            -1237.32      -62.7229      -1300.05      
90            90            -1223.84      -77.5117      -1301.35      
91            91            -1220.98      -76.8627      -1297.84      
92            92            -1219.33      -76.9622      -1296.3       
93            93            -1145.36      -81.8843      -1227.25      
94            94            -1138.39      -83.7409      -1222.14      
95            95            -1172.04      -90.5807      -1262.62      
96            96            -1217.43      -80.7509      -1298.18      
97            97            -1230.39      -80.3956      -1310.79      
98            98            -1236.45      -69.2261      -1305.68      
99            99            -1202.84      -77.0204      -1279.86      
100           100           -1214.99      -74.6105      -1289.6       
101           101           -1225.23      -76.0764      -1301.3       
102           102           -1216.17      -78.4172      -1294.58      
103           103           -1237.12      -88.4382      -1325.56      
104           104           -1292.41      -76.0587      -1368.47      
105           105           -1297.38      -76.472       -1373.85      
106           106           -1336.66      -61.8586      -1398.52      
107           107           -1257.15      -67.9341      -1325.09      
108           108           -1294.9       -70.8546      -1365.76      
109           109           -1235.82      -71.1448      -1306.97      
110           110           -1264.75      -75.2316      -1339.98      
111           111           -1234.06      -71.3689      -1305.43      
112           112           -1303.41      -73.1092      -1376.52      
113           113           -1306.07      -73.6576      -1379.73      
114           114           -1300.44      -75.9792      -1376.42      
115           115           -1203.34      -83.3679      -1286.71      
116           116           -1220.1       -71.5703      -1291.67      
117           117           -1219.92      -69.526       -1289.45      
118           118           -1207.5       -72.2888      -1279.78      
119           119           -1255.62      -76.8215      -1332.44      
120           120           -1278.02      -72.2633      -1350.28      
121           121           -1254.75      -80.6203      -1335.37      
122           122           -1243.46      -72.1606      -1315.62      
123           123           -1305.22      -56.6285      -1361.85      
124           124           -1186.84      -84.6687      -1271.51      
125           125           -1246.96      -75.3834      -1322.34      
126           126           -1259.53      -78.5586      -1338.09      
127           127           -1327.55      -87.3316      -1414.88      
128           128           -1308.19      -83.8526      -1392.04      
129           129           -1333.18      -77.271       -1410.45      
130           130           -1223.65      -82.9435      -1306.6       
131           131           -1252.17      -79.3423      -1331.51      
132           132           -1254.45      -80.4834      -1334.94      
133           133           -1242.7       -82.574       -1325.27      
134           134           -1278.64      -85.2704      -1363.91      
135           135           -1261.33      -87.1383      -1348.46      
136           136           -1253.59      -85.4621      -1339.06      
137           137           -1265.15      -83.108       -1348.25      
138           138           -1268.27      -87.4627      -1355.73      
139           139           -1234.83      -91.2179      -1326.05      
140           140           -1218.38      -92.4711      -1310.85      
141           141           -1214.41      -81.2754      -1295.68      
142           142           -1281.79      -81.6739      -1363.47      
143           143           -1224.41      -80.3707      -1304.78      
144           144           -1234.35      -80.3147      -1314.66      
145           145           -1263.55      -79.7746      -1343.33      
146           146           -1255.89      -88.348       -1344.24      
147           147           -1286.11      -84.8139      -1370.93      
148           148           -1260.33      -85.4129      -1345.75      
149           149           -1228.89      -80.8883      -1309.78      
150           150           -1194.38      -86.7707      -1281.15      
151           151           -1175.41      -79.1683      -1254.58      
152           152           -1243.65      -74.8731      -1318.52      
153           153           -1201.1       -93.3576      -1294.46      
154           154           -1225.32      -75.9709      -1301.29      
155           155           -1221.57      -80.1331      -1301.71      
156           156           -1248.67      -68.167       -1316.84      
157           157           -1250.04      -80.6352      -1330.67      
158           158           -1197.14      -80.8056      -1277.95      
159           159           -1149.1       -88.1586      -1237.26      
160           160           -1245.58      -86.9125      -1332.49      
161           161           -1176.97      -82.8206      -1259.79      
162           162           -1216.35      -85.8767      -1302.23      
163           163           -1206.48      -81.6164      -1288.1       
164           164           -1089.53      -68.9293      -1158.46      
165           165           -1132.22      -75.5673      -1207.79      
166           166           -1091.71      -84.1714      -1175.88      
167           167           -1079.28      -76.3774      -1155.66      
168           168           -1191.6       -82.1892      -1273.79      
169           169           -1126.62      -79.6889      -1206.31      
170           170           -1132.71      -72.7885      -1205.5       
171           171           -1160.93      -84.3304      -1245.26      
172           172           -1081.35      -82.2781      -1163.63      
173           173           -1103.19      -78.7424      -1181.93      
174           174           -1035.92      -75.0332      -1110.95      
175           175           -1053.85      -82.3658      -1136.21      
176           176           -967.973      -78.2806      -1046.25      
177           177           -1015.08      -74.2183      -1089.3       
178           178           -1098.42      -57.7833      -1156.21      
179           179           -1052.2       -59.354       -1111.55      
180           180           -1065.37      -69.5392      -1134.91      
181           181           -1032.82      -76.9527      -1109.77      
182           182           -1005.05      -80.2881      -1085.33      
183           183           -1068.5       -76.4415      -1144.94      
184           184           -1094.21      -73.4689      -1167.68      
185           185           -1158.41      -75.9448      -1234.35      
186           186           -1111.09      -83.626       -1194.71      
187           187           -1184.81      -77.6186      -1262.43      
188           188           -1091.01      -84.6917      -1175.7       
189           189           -1146.16      -72.055       -1218.22      
190           190           -1037.56      -73.0405      -1110.6       
191           191           -1057.81      -83.1303      -1140.94      
192           192           -1071.89      -83.0853      -1154.98      
193           193           -1079.29      -69.9299      -1149.22      
194           194           -1147.46      -57.6294      -1205.09      
195           195           -1212.85      -59.0248      -1271.88      
196           196           -1186.02      -64.2051      -1250.22      
197           197           -1188.47      -64.9292      -1253.4       
198           198           -1128.56      -65.9692      -1194.53      
199           199           -1137.16      -73.3567      -1210.52      
200           200           -989.616      -64.8794      -1054.5       
201           201           -1104.01      -61.2451      -1165.26      
202           202           -1106.49      -66.1407      -1172.63      
203           203           -1095.91      -62.7249      -1158.64      
204           204           -1190.26      -55.6286      -1245.89      
205           205           -1056.99      -64.6505      -1121.64      
206           206           -1084.96      -70.0825      -1155.05      
207           207           -1085.02      -66.4888      -1151.51      
208           208           -1095.21      -65.5612      -1160.77      
209           209           -1153.36      -67.6012      -1220.96      
210           210           -1050.67      -64.6801      -1115.35      
211           211           -1012.53      -65.0887      -1077.62      
212           212           -1004.74      -64.9788      -1069.72      
213           213           -935.062      -65.2614      -1000.32      
214           214           -944.091      -75.6173      -1019.71      
215           215           -970.178      -70.4655      -1040.64      
216           216           -1007.89      -64.6376      -1072.53      
217           217           -901.215      -56.5743      -957.789      
218           218           -871.99       -64.6522      -936.642      
219           219           -852.122      -64.6517      -916.774      
220           220           -890.607      -73.0962      -963.703      
221           221           -907.361      -62.5061      -969.867      
222           222           -851.332      -60.8272      -912.159      
