Frame         Time          Elec          VdW           Total         
0             0             -989.394      -99.5494      -1088.94      
1             1             -1081.73      -79.8375      -1161.57      
2             2             -1001.35      -88.8887      -1090.24      
3             3             -1073.73      -88.1771      -1161.91      
4             4             -1107.12      -89.947       -1197.06      
5             5             -1106.17      -101.938      -1208.11      
6             6             -1165.45      -95.5304      -1260.98      
7             7             -1243         -91.5493      -1334.54      
8             8             -1147.9       -88.2977      -1236.2       
9             9             -1196.74      -84.8426      -1281.58      
10            10            -1256.58      -77.3339      -1333.91      
11            11            -1282.31      -75.666       -1357.98      
12            12            -1351.14      -89.6391      -1440.78      
13            13            -1263.53      -80.4374      -1343.97      
14            14            -1249.91      -82.1224      -1332.03      
15            15            -1349.44      -80.8356      -1430.28      
16            16            -1339.14      -81.4309      -1420.57      
17            17            -1377.87      -85.1772      -1463.05      
18            18            -1417.84      -70.154       -1487.99      
19            19            -1410.23      -72.5083      -1482.73      
20            20            -1351.89      -67.2737      -1419.16      
21            21            -1293.14      -63.7065      -1356.84      
22            22            -1282.02      -57.0182      -1339.03      
23            23            -1376.94      -70.4692      -1447.41      
24            24            -1430.1       -58.6289      -1488.73      
25            25            -1393.48      -58.0821      -1451.56      
26            26            -1316.84      -64.0456      -1380.89      
27            27            -1342.53      -60.5894      -1403.12      
28            28            -1360.9       -70.2703      -1431.17      
29            29            -1423.97      -56.8653      -1480.83      
30            30            -1365.19      -58.0877      -1423.28      
31            31            -1399.47      -56.0882      -1455.56      
32            32            -1296.06      -68.0719      -1364.14      
33            33            -1390.46      -55.9027      -1446.36      
34            34            -1369.89      -72.0848      -1441.98      
35            35            -1432.92      -63.1725      -1496.09      
36            36            -1379.87      -63.5651      -1443.43      
37            37            -1411.45      -61.362       -1472.82      
38            38            -1313.6       -69.2165      -1382.81      
39            39            -1318.11      -67.5843      -1385.69      
40            40            -1292.49      -64.2322      -1356.72      
41            41            -1353.61      -78.5894      -1432.2       
42            42            -1302.38      -64.889       -1367.27      
43            43            -1231.86      -72.5904      -1304.45      
44            44            -1245.13      -72.4709      -1317.6       
45            45            -1321.98      -67.7197      -1389.7       
46            46            -1273.16      -71.7518      -1344.92      
47            47            -1386.2       -61.5959      -1447.8       
48            48            -1289.1       -70.9216      -1360.02      
49            49            -1201.55      -81.7586      -1283.3       
50            50            -1138.5       -78.593       -1217.1       
51            51            -1129.11      -84.1388      -1213.25      
52            52            -1097.2       -81.3421      -1178.54      
53            53            -1121.69      -74.1533      -1195.85      
54            54            -1184.17      -75.5605      -1259.73      
55            55            -1297.25      -74.9642      -1372.22      
56            56            -1189.85      -73.6318      -1263.49      
57            57            -1242.96      -75.5471      -1318.51      
58            58            -1233.41      -67.5849      -1301         
59            59            -1288.07      -70.2255      -1358.29      
60            60            -1249.44      -78.9565      -1328.4       
61            61            -1253.1       -76.1848      -1329.29      
