Frame         Time          Elec          VdW           Total         
0             0             -1402.48      -99.9053      -1502.38      
1             1             -1449.06      -95.9745      -1545.04      
2             2             -1300.59      -98.764       -1399.36      
3             3             -1310.69      -105.673      -1416.36      
4             4             -1337.16      -95.0846      -1432.24      
5             5             -1260.25      -95.7545      -1356         
6             6             -1374.63      -94.8567      -1469.49      
7             7             -1408.77      -95.515       -1504.28      
8             8             -1295.79      -86.2309      -1382.02      
9             9             -1182.2       -100.046      -1282.25      
10            10            -1259         -90.8862      -1349.89      
11            11            -1453.33      -94.3003      -1547.63      
12            12            -1341.52      -78.3588      -1419.88      
13            13            -1235.8       -77.5112      -1313.31      
14            14            -1338.48      -90.2492      -1428.73      
15            15            -1300.79      -91.251       -1392.04      
16            16            -1365.05      -98.1442      -1463.19      
17            17            -1326.27      -78.7124      -1404.98      
18            18            -1229.81      -88.3455      -1318.16      
19            19            -1207.28      -85.756       -1293.04      
20            20            -1364.11      -93.2864      -1457.39      
21            21            -1393.91      -92.658       -1486.57      
22            22            -1497.09      -89.4128      -1586.51      
23            23            -1474.82      -107.765      -1582.58      
24            24            -1327.5       -97.572       -1425.07      
25            25            -1333.48      -99.8858      -1433.37      
26            26            -1379.58      -87.7912      -1467.37      
27            27            -1384.58      -86.3198      -1470.9       
28            28            -1383.5       -87.8808      -1471.38      
29            29            -1324.87      -84.1251      -1408.99      
30            30            -1309.69      -88.3379      -1398.02      
31            31            -1461.18      -79.171       -1540.35      
32            32            -1368.38      -84.0412      -1452.42      
33            33            -1475.96      -80.8701      -1556.83      
34            34            -1434.92      -93.5973      -1528.51      
35            35            -1472.07      -92.3922      -1564.46      
36            36            -1436.12      -92.7878      -1528.9       
37            37            -1478.87      -97.6864      -1576.56      
38            38            -1469.9       -95.347       -1565.24      
39            39            -1567.22      -93.1427      -1660.36      
40            40            -1625         -87.0059      -1712.01      
41            41            -1594.31      -94.2398      -1688.55      
42            42            -1485.52      -87.1229      -1572.64      
43            43            -1594.95      -73.2821      -1668.23      
44            44            -1516.54      -78.0527      -1594.59      
45            45            -1508.94      -80.9456      -1589.88      
