Frame,RMSD of the whole system (alignment on whole system),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on CTT A)","RMSD of CTT B (beta chain, alignment on CTT B)","RMSD of CTT C (beta chain, alignment on CTT C)",RMSD of all CTTs (alignment on all CTTs),RMSD of R2 (alignment on R2)
0.0,1.1380535593813225e-07,5.799060210081574e-07,1.5019119331289832e-07,1.4727119689784073e-07,1.4266502613085524e-07,5.945225918595698e-07,2.5406003028183194e-07
1.0,1.1932600940685985,1.3246840709986711,2.001671416884736,2.2611689948094202,1.654719394433734,3.2469847035682036,1.3862150486946216
2.0,1.4748803546942115,1.4543238924471815,2.8293972489086747,3.3205843144436447,1.6118624439465683,4.4491665327713665,1.9540473028979866
3.0,1.6088601975319412,1.5102694405510497,3.0632670315207555,3.1518531395769966,1.2109348071491666,4.540597458108503,1.2647174969851034
4.0,1.5711843504892178,1.5847758797813079,3.9951143584019366,2.629620722181186,1.415760597555168,4.28819829466496,1.165490228017293
5.0,1.8495421685555575,1.6760438616145634,3.7074365447895308,3.2882157549129047,2.3221066822510164,5.430002747192823,1.3900872914184834
6.0,2.085332359249888,1.7328725435323316,4.003353035960024,2.506790756196551,3.9208324739226073,7.169052446547963,1.602483554280108
7.0,2.0692173026823744,1.6178080504531736,5.036722169326234,3.230400694279605,4.411210862292847,7.677120774009681,1.6079786072388924
8.0,2.2060452902446914,1.802391301694807,5.120401915031944,2.8797167806703685,5.034265997061814,7.729381026883121,1.5764465455369607
9.0,2.236213324249459,1.8041325729411153,4.185685380544693,2.1556018165167927,4.022560480728986,7.456636828846476,1.6442781689737973
10.0,2.2961960393255283,1.7770382034123744,4.310559874121297,2.3660513392483233,4.520612763124113,7.974330713649394,1.9330621394507808
11.0,2.3591453213099354,1.767384801424894,4.35447426089096,2.7213349439397665,5.491522740548312,8.288602611713031,1.7825867349340314
12.0,2.3531942282505702,1.8329978498467447,4.427776833052345,3.2702233709985844,6.253156459366986,8.750175592597149,2.299036441364732
13.0,2.3364624378862033,1.7980081540930044,4.3881790023496015,2.8218928732524597,6.0112369514208615,8.892072752352716,1.851583939293354
14.0,2.3953382710668767,1.9061783368314642,4.14908969364132,2.435255627277632,6.643100347638335,8.813671947100113,2.362239685938369
15.0,2.455779053908435,1.982082398939303,4.637590236412592,2.6803546216970857,7.022791467919396,8.976616274793013,2.465370758915847
16.0,2.606417501576218,2.0295610114830764,5.853601174613081,2.5656250684621087,6.961228262315108,9.654927423281354,1.7134475714292583
17.0,2.5649828708885405,1.9242940818569805,5.618319593279551,2.483755095118085,5.612272841443485,9.02203466058078,1.780085141336613
18.0,2.856069930781019,2.1206865658602148,7.293888959239661,2.796798433251376,6.261398136959217,9.730374397410976,1.9544559276140243
19.0,3.0944636051634165,2.3158561520294567,6.973471698920606,2.6240663755171845,5.563054039070209,10.342299843234349,2.044275170941236
20.0,3.2397765196277386,2.3095450336950214,6.570813675200889,2.262050380308714,4.620696010308163,10.368501639800604,2.114346050222948
21.0,3.300817520477276,2.2377705142256277,5.664570477437648,2.0168809773176934,5.165473468919571,11.350719702691906,2.092038779945476
22.0,3.179948354591698,2.1787426520874256,5.488995667926387,2.59878105224623,3.91213218362545,11.41118400661889,2.0592175553964998
23.0,3.187972801521554,2.1360126956409893,5.432342061015099,2.925289481463411,4.131641977120508,11.463706758371176,2.347708946559144
24.0,3.1164424900412526,2.271502532914338,4.988943398349142,2.5773961043460623,4.7703297243561416,9.974444136664363,2.0336965850608157
25.0,3.14638328120826,2.3071715503133077,5.941969535892895,2.7792621873700716,5.505471583109237,10.368110032761964,2.315051813882989
26.0,2.9484898990683455,2.2816490008259906,5.1601029489050685,1.8441056420983293,5.93356192227025,9.527782451656154,2.3598606692105255
27.0,3.1570562577437515,2.261766642703995,6.2001627686293,2.319759737891679,5.905053423299396,10.337675584150132,2.6280212047252594
28.0,3.1664893878082685,2.3445143032239613,6.005024682193806,1.6349258197103669,6.757871294330461,9.788409835990972,2.8419570826522818
29.0,3.0458532422686773,2.337747684610626,5.739459236396516,1.5476803039126397,6.413740919065693,9.118759837733181,2.5342765959923654
30.0,3.001722975226454,2.4097520206997096,5.704554680925818,1.6539182040182807,6.477036532592639,9.083929786782956,2.6091733525249983
31.0,2.978762420907911,2.2808962269834128,5.972512121027468,2.2452686714403627,6.24248985828257,9.001032592461655,3.021984381863835
32.0,2.883475666111453,2.3815943379105518,5.859593430223496,1.5942085045741643,5.014840237823248,8.062536322171734,3.0092155174628434
33.0,2.847805133853904,2.34776501930151,5.238137426448019,1.7682638857905497,5.416018139555531,7.996488976833057,2.9569859930730806
34.0,2.949292731251638,2.4844956596688017,4.515466825350965,1.2573350608538707,5.518587738238089,8.22715095195214,3.080567449592827
35.0,2.8324048867030625,2.372874024239262,4.406469635055741,2.2592958971873776,5.792187071795141,8.447574411251091,2.505406920055559
36.0,3.0052275587799735,2.3954269968058153,4.968360443505538,2.7794885098508817,6.114412800258937,9.151095445572704,3.0627266449306645
37.0,2.9704529837682356,2.273687214104458,6.349460035341055,2.5639972029707367,6.351995529376594,9.325934127953904,2.7363266916112483
38.0,3.0322608514058227,2.2830520169226673,6.412023950943285,3.3352411660188412,6.432584317000215,10.078634977006452,2.2852269061338064
39.0,3.0942714423872237,2.3541672504096365,5.218216166588355,3.706953012627171,6.8102529740274695,10.818814740500894,2.5999343001822357
40.0,3.150969950427515,2.506516286204183,7.256637534809579,4.309894534567383,6.478358985432622,10.210504754587134,3.1897722390572256
41.0,3.2366739328431655,2.5131861695804756,7.5860587659707335,3.8775757232801777,6.688831319611332,10.93426769558782,2.8844084802112313
42.0,3.537405070517593,2.5713153782305294,7.234038558631172,3.442911941826797,6.375887610211298,12.010952715813621,2.7365177498204347
43.0,3.571470699927084,2.5793633209901703,8.493744065723444,4.67369804083085,6.066294840333094,12.070625332082468,3.0636187734182205
44.0,3.6327985665399165,2.6436300579632923,9.682187290631024,3.944819237437631,4.7884411978899895,11.558568644975788,2.865872238852401
45.0,3.94869659830548,2.6633964453105805,10.818545890880017,3.6145861569420963,6.100720700185592,13.163537064599769,2.5076233364830975
46.0,4.023643482747859,2.444451712081873,10.246648339100549,3.5987790681775738,6.730595596877984,14.25411396675995,2.1183034806683
47.0,4.277242989206862,2.625030513988732,9.967054793786275,4.2078608046291865,7.825188081280299,14.893569437030967,2.429541773614918
48.0,4.528059044129866,2.855443645488386,9.778313895439831,3.874412842522402,7.465207584317035,15.946137659603274,2.4691697322692643
49.0,4.374536716242028,2.760014722778147,11.131385358835615,3.6673036839603586,7.43887187924394,15.372752446251093,2.386605994272043
50.0,4.599201954366258,2.95444599852485,10.979985857874414,3.8190763277240127,7.555044198918123,16.159342568052228,2.284695969003864
51.0,4.1568179774398875,2.6713043465599884,10.229815269722627,4.183389472342085,7.131066896428891,15.05583554828849,2.4575460435980623
52.0,4.304863934117268,2.654318065465282,10.561690165313204,3.7223297392805126,8.173641220823889,15.369630711668744,2.0098930334513785
53.0,4.445350841847128,2.7136915994749686,11.255816617857207,4.102941160135052,8.484188929778844,15.639967900215655,2.1580611076265543
54.0,4.308092235373282,2.641512578318707,11.29578863551764,3.6779240493969434,7.800956161588771,14.587417019287935,2.218056320969535
55.0,4.215176537581627,2.607966324826932,11.85054123800924,4.3229280925389455,7.682908959139229,14.188599828606867,1.8036159522804962
56.0,4.1024677201952615,2.6521278223683318,10.50740045073399,3.8217193457789653,7.612731735611733,14.324136497996445,1.952109143415312
57.0,4.213369741525685,2.592297567788997,11.684575167900976,4.139663058115645,7.631113585262333,14.502433453137384,2.035521854713763
58.0,4.328552109929886,2.593994450920534,12.591700689910123,3.857136050150717,8.041795602190534,15.086424627767904,1.8925841434792485
59.0,4.217058246811597,2.4559646640054185,12.7447369051086,3.5563449856223244,7.689566512031755,15.140240366246594,2.2536708447006326
60.0,4.342396112009265,2.58107942840174,12.67066957817167,4.095753420435655,7.480220781973501,15.043528895183996,1.9170197487900318
61.0,4.271787951258426,2.5790532569570126,12.799169653514458,3.718056504225695,7.113992302240215,14.18011664811811,1.878058264475599
62.0,4.2985292401007715,2.6921178850146035,12.328910124304068,3.40657475623029,7.68169455736433,14.095448656557101,2.540924588091535
63.0,4.126900583658315,2.6873043772220018,11.89228237126843,3.238972592037668,6.8709254284709855,12.909270384795624,2.174304073110161
64.0,4.317283503694953,2.6816603672890453,11.130705215057393,4.328551003065174,7.831432137453861,14.524117531534928,2.2111310757886944
65.0,4.462244569737291,2.5272329651885648,11.803142697209717,3.8590085411533224,7.84574432274029,15.48631676315365,1.851574339150135
66.0,4.567184722944952,2.607403300264415,10.953076181521748,3.8179464006891983,8.464073050411674,16.345933794245184,2.4045904231140462
67.0,4.559163691765406,2.7349994586134994,11.63115169561078,4.173487367999266,7.4889380004342625,15.74701657323611,2.299552989489797
68.0,4.73421069791227,2.6039206213750115,12.106753968763423,3.9419579489985246,8.479205487066537,17.292786582984885,2.5479549812737887
69.0,4.789618061194842,2.5691119967077083,11.715211605462267,4.696142394820816,8.625962247671756,18.16788151470342,1.8722519823713295
70.0,4.664987087090377,2.5363936823333497,10.839815398437658,3.726738761698954,8.624974029664811,18.1366090342543,2.3333351824405053
71.0,4.876906938431398,2.5717731857582797,11.564540450757132,3.996044212747819,9.350333133692788,18.245720658633857,2.6398932977583383
72.0,4.730981375245902,2.5022255988474105,11.599524492162807,3.180422985634397,9.570016274336636,16.80027871231258,2.946037436174688
73.0,4.5473588872720905,2.4580434218057166,11.41865013407511,3.288623969142908,8.933386933980277,15.66495521967497,2.826231589575587
74.0,4.645958863069708,2.678003732919682,11.596109185924401,4.099726847938856,8.985640910408842,15.597317478740958,2.651697778463374
75.0,4.753254993991482,2.6955318155524157,11.619431834824676,3.5305600608482317,9.224439773006102,14.986286236445057,3.8191802876520717
76.0,4.554373233019468,2.6964138257869683,11.454673380908796,3.737411702277775,9.192111374208674,13.889071670072074,3.3377453079029156
77.0,4.706011956871757,2.6988917191153456,11.27003497745488,3.6178285478172123,9.212450986622205,14.055036137447354,3.545932431147126
78.0,4.5947899251344495,2.582612504435899,11.71789515170157,3.968078604573674,9.366302241312127,15.131913747078693,2.8226445438620873
79.0,4.567389213580909,2.5535080764179727,11.435922456334655,5.01597003543352,9.05776101193974,15.228909039877887,2.8654642125428564
80.0,4.674443860590687,2.4680705740543045,10.20714868406695,5.416396936243311,9.437716699172121,15.164152507470728,3.391857554150105
81.0,4.928941855055602,2.7130963518277627,9.218299808780804,5.043917289826353,9.625669468353523,15.245856104037541,3.0868423229406603
82.0,5.145210266536214,2.7406987619044676,9.464875370329565,4.269520975274087,8.443934809992703,15.714918222011516,3.163396346808249
83.0,5.113423633432306,2.670677145575561,9.091938979245606,4.312308851548481,8.972244615112317,16.497261305835288,3.106451768248388
84.0,5.125196983936613,2.637628821993407,9.869786582050306,3.589471534960053,9.462328630313056,15.502359463168844,3.007241617519353
85.0,5.179015670976463,2.5984211041100695,10.62648428488345,4.013543062766808,8.894942933460777,15.501230044746855,2.54071495909474
86.0,5.157561170137856,2.674061647941229,10.167873887833982,3.881725202570284,9.514872163526432,16.45118905986173,2.7144309874462635
87.0,5.1872116067329825,2.6704990935513973,11.384132986738976,4.079840743069943,9.498315823040079,16.475007677717482,3.618537740945206
88.0,5.373781710309761,2.671779939401478,12.529914460525259,4.732932900095774,10.111420409423966,17.630566704448437,3.141797485344658
89.0,5.472052099497499,2.6548081562677615,10.850972740344913,4.893252181823254,9.672380940818504,18.25652287775647,3.4703354536604616
90.0,5.625468149194929,2.6638146856412575,11.172708372249849,4.702442411019948,10.437749320488518,18.861518736147378,3.1834997012541004
91.0,5.685325112871356,2.753832965158504,9.471876342901226,4.4800400600609835,9.661196168662237,19.0996772405499,3.82855656037886
92.0,5.57889061620116,2.75923202236182,9.301912811404554,4.251329685627502,9.665104310742839,18.652592652889272,3.7360550265217247
93.0,5.462128148913139,2.741460672207894,10.22260909387191,4.031755212317677,9.633242452671146,17.651588314967892,3.4638562589840007
94.0,5.334923139250349,2.6811483911550273,11.879997507195442,3.9855651978410314,9.087778830500397,17.225285769516443,3.7137236126921813
95.0,4.995150377171469,2.5737767631920785,11.437232944358316,4.413303440151225,8.549000123575917,16.627371182015654,3.4788878434142987
96.0,5.087049144669037,2.539909840690816,10.44062413948045,4.715176786138252,9.51815293866584,17.814709592247723,3.1159069034085842
97.0,5.150369539944242,2.638985131766724,9.977390029134977,4.5475434207138745,8.901715388101902,17.606109244102583,2.8177166898112915
98.0,5.109913176079924,2.7781045933258275,8.991761791042329,4.772936154483057,9.562532008376564,18.25464906728724,2.613855880660168
99.0,5.125003266795585,2.5234882484576593,9.071398564359077,4.90202243914645,9.61788654814774,18.437155415613677,2.555785947211444
100.0,5.353892069466898,2.7366349527364164,8.97807336450006,4.740279307459808,9.52997892471242,19.052063992211885,2.307734041823801
101.0,5.257571857375381,2.5897839502834104,9.300623988804015,4.460197839639702,9.468139050481499,18.987193329392195,2.635107017260334
102.0,5.130711404858192,2.565621875770071,9.217710049175638,4.0266677586772115,9.018912140095336,18.257971924200753,3.355947448597212
103.0,5.537042481144544,2.537472271042449,10.329946154817724,3.5662104430236106,9.225963378840948,19.692266964083696,3.1869992889352887
104.0,5.566099423828332,2.406530873419197,11.389749643988674,3.6564915662801574,9.499692062294297,19.487349182596557,3.8968316816760686
105.0,5.614187512063858,2.5881428028658022,11.75888108511832,3.9584223481121805,9.31326698639946,19.93387018768632,3.1179284268009337
106.0,5.47479375093352,2.6382691670939926,11.614564795489866,4.020079197801558,9.275107303491836,19.07717931166291,3.347403725995246
107.0,5.457072410687751,2.4841297141812837,11.613605852726772,3.39996457311835,8.744200829148184,17.93976260331958,3.4658688617489566
108.0,5.355993760264393,2.474979280573573,11.686783914053258,3.751517923118351,8.439380518075144,17.58756967567033,3.7256263041809854
109.0,5.516905668827323,2.6244032987232395,11.053749770971194,3.886295737423697,8.745841563818262,18.1260466258681,3.4921841466741514
110.0,5.550254825150723,2.7147215192981444,11.335563357620572,4.256085464258395,9.415627466231637,18.928659155899844,2.9671740761477396
111.0,5.543016496377259,2.638530718929383,10.926532619775125,4.517209787668491,9.73862675682062,19.150283690054778,2.8217036805346822
112.0,5.481385414830387,2.6874257613358346,8.971628503910987,4.341862351020979,9.376097022200632,18.80406805718551,2.7430633612820503
113.0,5.58650580323588,2.634118991409495,8.037356163861554,3.9958442200467856,10.719611370430137,19.190572977439114,3.5527501883049952
114.0,5.667415400013335,2.673690591287188,6.996136319208679,3.8780804995824605,10.553064620048046,19.284967406234887,3.9402915650951718
115.0,5.457053870062628,2.464447520403882,6.278870303762099,3.752103605186966,10.138750307116764,18.636989380879303,3.221997055009233
116.0,5.56792320669294,2.4761950271326176,6.3568992265345665,4.2416296331689765,10.409067620654895,18.60715894176961,3.170711329653786
117.0,5.4795562419582655,2.5074018213272278,6.7125377882337105,4.263448390030038,9.686672806019054,18.281027290210353,2.860636276370742
118.0,5.980604113032483,2.7157769434089674,7.112766040337626,4.242526196572077,10.654646026531603,19.412821910476644,2.9543756027563646
119.0,5.790074294711478,2.6159838601552923,7.32031817153281,4.896313479800199,10.681569631776798,18.831935695646006,3.660076590590399
120.0,5.647491225352567,2.5887257395831487,7.942367887532347,5.415482952127748,10.321516559610515,18.092510433411086,3.505592348392875
121.0,5.548993043300835,2.5496921709752787,7.122463515252125,4.445292811424842,9.802928049221352,17.251143665905573,3.154222194339239
122.0,5.796335424619639,2.6606905446943316,7.886172910406134,4.754377171262336,9.229404039663939,17.820702038068674,3.0667916959965975
123.0,5.614251684870467,2.634561942597874,7.551821512521515,4.1749397647795785,9.486945975455106,18.34167264199873,2.638925013017434
124.0,5.775164448861652,2.752599648361231,8.254403480218798,3.784316298233616,9.135891735078603,18.40970601050291,2.9987133713585945
125.0,5.8719935808033314,2.762527251479138,8.501888159214838,4.627314762386817,9.716188690835283,19.071866657771412,2.6716108132128698
126.0,5.788352137655968,2.6371697989479874,8.171080918493717,4.943262431248086,9.765259679157886,19.375855136261883,2.755064881300656
127.0,5.819977450497147,2.6575722030294697,7.676108529427608,4.795259937789845,9.069655270430802,18.71100813944454,2.8219307144473085
128.0,5.820548001039517,2.740794221862288,8.190976824841075,5.392995898829597,9.320488004422048,19.642172625019718,2.6001608978188586
129.0,5.797462114164312,2.7931280151355455,8.560842754148682,6.3495856201757945,9.243262974373305,19.806931043873522,3.277193971958762
130.0,5.761149786887232,2.738842346343689,8.123741768765031,5.365919478131171,9.065903466935675,19.518223065315944,2.8403287499186574
131.0,5.821854913367913,2.9129729286155635,8.134190950288547,5.8164854071498935,9.169311206018241,19.657190142441525,3.1928120620408778
132.0,5.679934203438481,2.7592104961847532,8.102795244173528,5.647806160642769,9.311610027673295,19.59469308723405,3.769624795824009
133.0,5.640611604040352,2.7049113735178287,7.135389618616286,5.995657392791618,8.394971244784507,19.22000915560039,3.4937474010785605
134.0,5.639590763104757,2.7756944727788184,6.851117472608235,5.516486976337597,8.310506735877246,18.792064540532156,3.2619678918053308
135.0,5.750519861599354,2.81934682169389,5.917477824633309,6.03782980921524,8.94578002160641,19.233224766756326,2.699940041244103
136.0,5.85843762529849,3.0760134766706715,7.1054676298785315,6.114164002435312,8.542993097415799,18.84202092412325,2.7241721232468734
137.0,5.745136407962071,2.9230283580989704,6.388881445909911,5.602870881867862,8.906461486899031,18.80877951350214,3.1054910718710103
138.0,5.624441632678604,2.6501138886467097,7.089882756239829,5.490313614427773,8.751326984024585,19.160628469298704,2.711539920355856
139.0,5.664804385838441,2.7132362205798035,6.165528712639497,5.905612084189897,8.880117042475224,19.142845893384752,3.002284577384805
140.0,5.768202324982073,2.7497406998214764,5.980909455867615,5.826033930174883,9.325991825497232,19.47018633966231,3.194625455539149
141.0,5.707137512681099,2.685969476948778,6.711186623262103,6.096317802562812,10.083299700009702,19.327552070195644,3.2483784539741207
142.0,5.71268506091719,2.9021291036937784,7.409847815767098,6.106495518458719,9.52571923244011,19.64520984823155,3.1110798125142636
143.0,5.622714493044348,2.6483031136488,7.994502107721567,5.6410245264514085,9.601234551362587,19.521997839676178,2.6761231115562514
144.0,5.641191376323658,2.8512598725165104,6.9983092178422215,5.455007157472104,9.693426626220527,18.502353522662805,2.9514435741004093
145.0,5.821019282730914,2.8557470789795225,6.928386123493742,5.599637303612766,9.129566269279861,19.054452853799106,3.325641039739752
146.0,5.730990556719426,2.8056399107907186,6.641919901230979,5.953083262742416,9.933035820868538,20.009473846910744,2.9877233562031456
147.0,5.628493620409112,2.7159168490362124,6.6228733676401985,5.783568378982434,9.53633048446839,19.431510608250264,3.0751704830135758
148.0,5.639085895718587,2.7841604554363597,7.022822344134309,5.940309125215362,9.090175261523239,19.502107788512827,2.63451699058373
149.0,5.498544825569733,2.6566357444598108,6.951939444150029,6.038501043493402,8.845598903571675,19.234937330584064,2.643092261947254
150.0,5.703960383990568,2.558005493443418,6.7045563059008995,5.637273151379556,8.121250507262655,20.420080908287705,2.4999599066898552
151.0,5.7253572579018615,2.6495594827771862,6.516737651653721,6.072492827048963,8.244319274141056,20.081576985991667,2.672117175629733
152.0,5.50377227615862,2.5931609466178567,6.674148474466125,5.615894469667108,7.875688898785715,18.936113145755034,2.7644211451640333
153.0,5.404432801688186,2.721602312604709,6.649454270439692,5.55321302722232,7.82000458728023,19.181148720257376,3.0200154335954483
154.0,5.536577253108345,2.7226317468419907,6.822230897203981,5.786489165766788,8.264341852405309,20.29455613813526,2.8503269709921355
155.0,5.545242496238282,2.6435338612821,7.260748365757104,5.929618302815782,8.836851841249914,20.463725513584333,2.4744832325448343
156.0,5.601911778581891,2.795484146500823,8.665444207472643,5.558363409696639,8.529547035443692,19.552026782545404,2.8725993380507093
157.0,5.477587604345355,2.662434297018584,8.49709167219244,5.328511275352719,8.995214755019775,19.30036534460059,2.481607380172107
158.0,5.490756458876739,2.894004586000764,8.207486603493258,5.757377507709901,8.469447484610285,19.564636416344225,2.945937677244853
159.0,5.3538679951052455,2.8286536981464736,8.655729239438479,5.030232671601908,8.264279471470953,18.5832790806804,2.2532791031320456
160.0,5.323890431265703,2.766396351621518,6.891326943180883,4.976786851929657,7.361691143373789,18.29636811411541,2.8851905733968306
161.0,5.467413185257142,2.8301693761739752,8.036332809563532,5.152814725027806,7.700857550500273,18.550778815270213,2.8217467658884474
162.0,5.522369465821351,2.6108770465007836,8.30183462135516,5.594030466854725,7.903422695584184,18.51758610039501,2.5082600219369073
163.0,5.541305225892665,2.5307370223101646,8.699140446916932,5.188491882171751,8.379369036097998,18.64330517839529,2.7579740488248143
164.0,5.479056590836218,2.586763267217604,8.211211781828355,5.136905016105574,7.636985824035136,17.392071957873267,2.324015745603746
165.0,5.365226753080201,2.482510411181277,7.947612499574509,4.9288305316750805,7.44540643104476,17.138794525471784,2.3373439358735113
166.0,5.488602630590608,2.421213841836293,7.758694717142042,5.430491854515408,7.959157633262153,17.54615578413478,2.297145534955252
167.0,5.615628756722345,2.547744998720227,7.596353738722419,5.741561219180119,7.9318355428894405,17.661278416844297,2.499317115097027
168.0,5.56178091947429,2.351866713462496,7.340369584549172,5.337430424664802,7.850790601474581,17.444196939405394,2.404769934733539
169.0,5.634717349471896,2.504609941744109,8.503256692931412,5.392472093531938,7.884172203805487,17.179795156376354,2.2439038489039684
170.0,5.467734151121777,2.5137172111738395,7.57489478294088,4.997204465894996,7.590378626219361,16.9603638157669,2.1426911859541904
171.0,5.558385473991028,2.61003997643816,7.77518168806779,5.156306061627475,7.727276275858996,17.202619632297452,2.076353943981877
172.0,5.535056598738839,2.5866295797036094,7.74732323956957,5.502480458197042,7.5438027460906785,17.66900590763122,2.036579536065591
173.0,5.3878441127898995,2.477895425010054,7.311345828237248,5.31456069405442,6.956994961810267,16.646196653730644,1.9870081925965077
174.0,5.302796340816889,2.453675423022287,6.151180964738612,6.061340724085031,7.369026989578761,17.0008566299788,1.930331891929275
175.0,5.266286214092923,2.427582643377334,7.062781281345775,5.249687265247903,7.256235601759257,16.724352385103114,2.192050178416397
176.0,5.3589172951183555,2.412441853545539,6.742909410586196,5.098070455318258,7.57059718869412,16.57936650859888,2.0481272703061073
177.0,5.149892066891671,2.4073660702031296,5.398774392203367,5.162786691317928,7.027807074803824,16.634244638759405,2.4022037881394858
178.0,5.125359215316798,2.4268417600461003,5.74115324876959,5.170276894598494,7.079560601246406,16.973306660431266,2.477650330365492
179.0,5.201776523832065,2.5496785098911525,4.9444535399932485,4.668347756108467,7.075600708611918,16.741647315987393,2.057029774606383
180.0,5.105939754217343,2.4420137122336363,5.384840175379543,4.268627528554226,7.212931281007925,16.254940158672635,2.352262366912821
181.0,5.1691273981422565,2.4659043537956045,5.684512478072683,4.21367149931971,6.880912897511981,16.67567310391501,2.7044865461862972
182.0,5.430532111473778,2.573479270230004,4.168275852972416,3.8680538562258504,7.327085900510036,17.182039156484652,2.462342065962398
183.0,5.272830683526262,2.4780057387419228,4.055766721661158,3.836546876599133,7.6048216678078475,17.630891355825824,2.5901709189786177
184.0,5.443150562478186,2.474188788272054,4.745966938852748,4.0934298820151325,7.350239706714487,17.183783312906247,2.48453148107858
185.0,5.516876979947879,2.5576590701361948,4.758367115429958,3.7752927240612997,7.329037367029626,17.357023222274268,2.459679455206004
186.0,5.483243087883796,2.5179297776542984,5.315858356662213,4.612778727128646,7.63583337047645,17.980899199994106,2.1021138114453337
187.0,5.4975699410030545,2.5391732951793857,5.4087009179742545,4.373367494836942,8.049255132518821,18.24908214058878,2.1292123942623267
188.0,5.577524324033734,2.5922261332296275,6.211227799315869,4.323909185965398,8.811969920907675,18.427992353448353,2.2385105753522305
189.0,5.508811136178833,2.5611924857481725,6.886362490543522,4.477742267244602,8.608069412675357,18.124970575520678,2.2214635481193588
190.0,5.452590317176518,2.4759443381948416,6.113749118115707,3.8797667450145874,7.816285104273387,18.149190456204487,2.278240736058867
191.0,5.353453893649687,2.477278313762053,5.7656818310130635,3.8947469058433346,7.613383310145176,17.539414966136075,2.46275323551209
192.0,5.464958210391211,2.5461644855907877,6.187033002102146,3.604971343724702,7.974784625469664,17.96131919954898,2.1838317942331615
193.0,5.533041747828185,2.6387312094788538,5.984577249588932,3.5531263827345616,7.759313279467773,18.115026894390006,2.5918181225699635
194.0,5.52416820017335,2.587794718479681,5.498207160222468,3.475845335560716,8.38533621150203,18.037775186082943,2.6901140305872193
