Frame,RMSD of the whole system (alignment on whole system),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on CTT A)","RMSD of CTT B (beta chain, alignment on CTT B)","RMSD of CTT C (beta chain, alignment on CTT C)",RMSD of all CTTs (alignment on all CTTs),RMSD of R2 (alignment on R2)
0.0,9.916412460473691e-08,5.925817503093521e-07,-1.0,-1.0,-1.0,-1.0,2.733622361892076e-07
1.0,0.9925119831238362,1.280655232983062,-1.0,-1.0,-1.0,-1.0,1.3384056649912635
2.0,1.1891615359528755,1.5437379410833663,-1.0,-1.0,-1.0,-1.0,1.0161957031052624
3.0,1.213969707024934,1.5688515421161313,-1.0,-1.0,-1.0,-1.0,1.13704080402811
4.0,1.2667743180461108,1.6436667085557262,-1.0,-1.0,-1.0,-1.0,1.019667582460291
5.0,1.232580821772038,1.6879701181317615,-1.0,-1.0,-1.0,-1.0,1.042560979346062
6.0,1.188637327508723,1.6284950903166964,-1.0,-1.0,-1.0,-1.0,1.1812190344461402
7.0,1.3141472482114016,1.7664412367508722,-1.0,-1.0,-1.0,-1.0,0.9161768915026806
8.0,1.4166570019790037,1.8264045745112334,-1.0,-1.0,-1.0,-1.0,1.119155428127279
9.0,1.4999421931247139,1.9219830308788048,-1.0,-1.0,-1.0,-1.0,1.0484801477405117
10.0,1.2322329808374273,1.7060023711135792,-1.0,-1.0,-1.0,-1.0,1.3237518327926403
11.0,1.3159014268723201,1.8286798813989877,-1.0,-1.0,-1.0,-1.0,1.631201511348433
12.0,1.300257775094396,1.8073300673256536,-1.0,-1.0,-1.0,-1.0,1.5648076644945526
13.0,1.405384011794997,1.8623133748759795,-1.0,-1.0,-1.0,-1.0,1.6905660972935095
14.0,1.4748171041560192,1.8910784578097992,-1.0,-1.0,-1.0,-1.0,1.6682087056330934
15.0,1.3947227214724347,1.8610618157125172,-1.0,-1.0,-1.0,-1.0,1.6270544030036733
16.0,1.744833287914794,2.102710546899085,-1.0,-1.0,-1.0,-1.0,1.519111531696968
17.0,1.7191670714626084,2.0712178632679508,-1.0,-1.0,-1.0,-1.0,1.2591643762660845
18.0,1.6618960563474043,2.062632069626553,-1.0,-1.0,-1.0,-1.0,1.6998954985073464
19.0,1.558282523839657,1.9647242179194446,-1.0,-1.0,-1.0,-1.0,2.1663590080076736
20.0,1.7314949282067742,2.0499722227197594,-1.0,-1.0,-1.0,-1.0,2.380900331618861
21.0,1.709290076973646,2.0718531346984745,-1.0,-1.0,-1.0,-1.0,2.1215977770967487
22.0,1.4771843230560595,1.9632664907882982,-1.0,-1.0,-1.0,-1.0,2.3299783370929883
23.0,1.5921047650570894,2.0719583285048584,-1.0,-1.0,-1.0,-1.0,2.621468395403978
24.0,1.587663942696936,2.0184068445394265,-1.0,-1.0,-1.0,-1.0,3.4343009495227026
25.0,1.505287073054884,2.0139515215760055,-1.0,-1.0,-1.0,-1.0,3.6596010358458906
26.0,1.5569826624164773,2.002329856830929,-1.0,-1.0,-1.0,-1.0,3.6851408673024486
27.0,1.6594235082151765,2.0780313713260994,-1.0,-1.0,-1.0,-1.0,3.7733861143502865
28.0,1.599884659231599,2.008466740548926,-1.0,-1.0,-1.0,-1.0,4.148095724493309
29.0,1.7948884354889527,2.1124394072235506,-1.0,-1.0,-1.0,-1.0,3.8813885532880263
30.0,1.8673009350966456,2.125120987838006,-1.0,-1.0,-1.0,-1.0,3.977103300342016
31.0,1.5448544108870839,1.9761152135320015,-1.0,-1.0,-1.0,-1.0,3.724044000606308
32.0,1.6898051321539305,2.1430088593356573,-1.0,-1.0,-1.0,-1.0,3.6110631481268847
33.0,1.8356350202615892,2.20727355905959,-1.0,-1.0,-1.0,-1.0,3.8811595204054274
34.0,1.840840397000044,2.149533077130062,-1.0,-1.0,-1.0,-1.0,3.916179725722596
35.0,1.9201401203486608,2.1743093069414487,-1.0,-1.0,-1.0,-1.0,3.423242538711384
36.0,2.141542500356027,2.3709306279219255,-1.0,-1.0,-1.0,-1.0,3.6313805412038693
37.0,2.3287925459335526,2.4595451770825996,-1.0,-1.0,-1.0,-1.0,3.691124914628823
38.0,2.08518515688244,2.295373931402746,-1.0,-1.0,-1.0,-1.0,3.4302974614294293
39.0,2.1051517223696647,2.3240312594199244,-1.0,-1.0,-1.0,-1.0,3.8086362973573387
40.0,2.2826489281411666,2.415446633270487,-1.0,-1.0,-1.0,-1.0,3.57695543325946
41.0,2.229210543981201,2.38162979306429,-1.0,-1.0,-1.0,-1.0,4.024963362850159
42.0,2.190800698990923,2.3905798396705906,-1.0,-1.0,-1.0,-1.0,3.818941834968864
43.0,2.2621178776277158,2.4249882814720083,-1.0,-1.0,-1.0,-1.0,3.7527903289632563
44.0,2.437556189385748,2.518660391208995,-1.0,-1.0,-1.0,-1.0,4.225697983404219
45.0,2.5717749764632676,2.655156665231029,-1.0,-1.0,-1.0,-1.0,3.954717660132962
46.0,2.5094627171758823,2.6101268609316515,-1.0,-1.0,-1.0,-1.0,3.838244142574505
